"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 18-Feb-2022","30 D % CHNG 
 20-Jan-2023"
"NIFTY 100","17,529.65","17,539.95","17,307.10","17,604.40","17,335.00","-269.40","-1.53",426436528,"226,832,386,377.42","19,039.40","15,336.05","1.30","-3.11"
"MARICO","500.75","505.40","498.35","500.40","503.00","2.60","0.52",1412597,"710,493,913.09","554.35","468.50","-1.35","-0.95"
"ITC","382.00","384.90","380.00","382.25","384.15","1.90","0.50",8961077,"3,434,601,592.56","388.20","207.00","75.34","14.24"
"INDUSTOWER","164.00","166.60","162.35","164.10","164.75","0.65","0.40",4555272,"751,847,643.60","254.45","135.15","-34.80","-4.29"
"GAIL","94.95","96.00","93.15","95.30","95.55","0.25","0.26",9721273,"919,632,425.80","115.67","83.00","-30.08","-3.74"
"BAJAJ-AUTO","3,837.10","3,890.25","3,814.95","3,837.10","3,847.00","9.90","0.26",477992,"1,843,964,078.16","4,131.75","3,125.00","7.20","7.40"
"BOSCHLTD","18,344.30","18,469.30","18,232.00","18,476.30","18,281.00","4.70","0.03",24230,"444,416,725.70","18,525.00","12,932.45","17.03","8.98"
"SBICARD","745.60","745.95","732.00","745.60","745.65","0.05","0.01",546212,"404,153,183.04","1,028.65","655.70","-7.08","-0.91"
"CIPLA","966.60","972.80","959.05","965.95","965.95","-","-",1602953,"1,548,308,332.23","1,185.25","888.15","6.47","-8.31"
"ICICIGI","1,096.25","1,104.25","1,089.25","1,100.15","1,100.00","-0.15","-0.01",362708,"397,926,946.80","1,412.00","1,071.00","-13.15","-4.63"
"COLPAL","1,457.00","1,459.65","1,443.20","1,458.15","1,457.50","-0.65","-0.04",229296,"333,128,107.68","1,695.95","1,388.00","3.35","-2.79"
"MOTHERSON","81.50","82.45","81.30","82.15","82.10","-0.05","-0.06",12944556,"1,059,253,017.48","106.33","61.80","-","12.53"
"MARUTI","8,675.50","8,719.00","8,585.00","8,669.85","8,663.45","-6.40","-0.07",363931,"3,150,110,310.49","9,769.00","6,536.55","0.66","2.73"
