"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 18-Feb-2022","30 D % CHNG 
 20-Jan-2023"
"NIFTY ALPHA 50","25,876.10","25,888.45","25,410.15","25,953.90","25,452.65","-501.25","-1.93",312967130,"63,817,791,291.46","-","-","-18.34","-10.85"
"PHOENIXLTD","1,284.05","1,306.70","1,280.00","1,290.65","1,305.00","14.35","1.11",141598,"182,828,505.64","1,624.00","885.05","32.22","-7.49"
"ITC","382.00","384.90","380.00","382.25","384.15","1.90","0.50",8961077,"3,434,601,592.56","388.20","207.00","75.34","14.24"
"ANGELONE","1,073.95","1,089.00","1,069.05","1,075.20","1,078.00","2.80","0.26",202023,"217,861,603.20","2,022.00","1,066.00","-18.85","-17.01"
"APLAPOLLO","1,275.00","1,289.40","1,263.20","1,275.00","1,277.00","2.00","0.16",459037,"584,982,981.69","1,337.90","770.90","53.75","6.54"
"ELGIEQUIP","456.90","466.75","452.55","459.45","460.00","0.55","0.12",251771,"115,686,256.79","566.60","248.70","34.64","20.29"
"CUMMINSIND","1,576.90","1,588.95","1,565.30","1,578.35","1,576.80","-1.55","-0.10",778980,"1,229,316,127.80","1,666.45","909.15","62.61","9.06"
"ABB","3,169.95","3,188.90","3,129.30","3,169.40","3,163.00","-6.40","-0.20",218407,"690,214,169.54","3,446.30","1,944.60","50.84","8.03"
"SCHAEFFLER","3,010.00","3,020.00","2,952.60","2,989.45","2,973.00","-16.45","-0.55",152871,"457,755,393.69","3,969.85","1,650.05","60.11","12.02"
"POLYCAB","3,041.35","3,065.50","2,994.20","3,041.35","3,022.00","-19.35","-0.64",328540,"997,092,616.80","3,143.40","2,043.85","27.74","10.15"
"NHPC","39.00","39.40","38.60","39.10","38.85","-0.25","-0.64",4808757,"187,156,822.44","46.90","27.05","30.12","-8.22"
"BEL","95.70","96.15","94.80","95.55","94.90","-0.65","-0.68",14589841,"1,390,703,644.12","114.65","62.33","-51.78","-6.14"
"ESCORTS","2,100.00","2,120.00","2,079.00","2,107.05","2,090.00","-17.05","-0.81",228163,"479,171,961.19","2,358.35","1,306.70","13.22","0.58"
"DEEPAKFERT","625.00","634.90","620.00","629.80","624.05","-5.75","-0.91",199116,"125,311,663.44","1,062.00","506.65","19.35","-4.78"
"COALINDIA","214.55","215.85","211.60","214.05","212.00","-2.05","-0.96",6003852,"1,281,642,286.44","263.40","149.00","32.79","-5.70"
"TIMKEN","3,048.65","3,085.00","2,985.20","3,055.20","3,025.00","-30.20","-0.99",38483,"116,669,295.93","3,758.00","1,713.35","54.89","-0.79"
"IIFL","436.25","443.95","425.70","439.55","435.00","-4.55","-1.04",429861,"185,356,063.20","538.00","269.40","40.61","-10.53"
"KEI","1,672.35","1,677.15","1,648.00","1,668.80","1,651.05","-17.75","-1.06",86941,"144,112,532.19","1,730.95","951.00","67.53","10.00"
"BAJAJHLDNG","6,051.15","6,066.30","5,999.25","6,079.35","6,013.00","-66.35","-1.09",9943,"59,884,501.54","7,378.45","4,294.05","13.57","8.93"
"KPITTECH","814.00","833.00","807.60","822.10","812.80","-9.30","-1.13",1365678,"1,120,839,248.16","876.15","440.40","52.07","17.99"
"CHOLAFIN","772.90","774.05","762.60","773.40","764.50","-8.90","-1.15",675975,"519,121,761.00","817.75","595.10","14.72","9.51"
"TVSMOTOR","1,120.00","1,126.90","1,108.05","1,125.80","1,112.00","-13.80","-1.23",746146,"832,363,170.30","1,176.90","513.00","70.99","16.07"
"M&M","1,346.90","1,352.85","1,311.15","1,351.85","1,331.00","-20.85","-1.54",2196484,"2,929,736,253.72","1,397.00","671.15","60.72","2.82"
"TIINDIA","2,529.70","2,560.45","2,503.00","2,547.75","2,506.50","-41.25","-1.62",116862,"295,283,395.74","3,046.20","1,441.95","55.89","-3.30"
"VBL","1,322.00","1,332.80","1,298.00","1,324.50","1,302.95","-21.55","-1.63",831050,"1,095,756,046.00","1,432.45","583.60","40.87","7.45"
