"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 18-Feb-2022","30 D % CHNG 
 20-Jan-2023"
"NIFTY COMMODITIES","5,596.40","5,598.20","5,482.75","5,611.30","5,505.65","-105.65","-1.88",149557882,"57,019,923,062.85","6,458.45","4,774.15","-1.55","-6.40"
"DALBHARAT","1,888.25","1,919.00","1,860.05","1,909.00","1,914.00","5.00","0.26",483208,"917,481,525.84","1,989.80","1,212.50","9.77","3.80"
"NAVINFLUOR","4,247.25","4,275.00","4,194.00","4,244.45","4,242.00","-2.45","-0.06",102302,"432,448,968.36","4,848.35","3,360.00","11.17","4.41"
"ONGC","154.25","154.50","151.70","154.10","153.75","-0.35","-0.23",9599697,"1,469,713,610.70","194.95","119.85","-5.69","1.65"
"BPCL","322.50","323.00","316.20","323.25","322.10","-1.15","-0.36",4089274,"1,304,233,049.56","398.80","288.05","-12.34","-6.67"
"ATUL","7,200.05","7,200.05","7,094.05","7,201.30","7,170.00","-31.30","-0.43",33046,"235,720,753.06","10,647.40","6,873.75","-21.76","-3.10"
"HINDALCO","430.50","434.50","426.75","431.50","429.50","-2.00","-0.46",5276939,"2,275,205,019.24","636.00","308.95","-15.72","-11.93"
"DEEPAKNTR","1,802.00","1,814.25","1,771.00","1,804.40","1,793.00","-11.40","-0.63",349522,"625,756,227.04","2,391.00","1,681.15","-10.00","-4.41"
"UPL","745.05","749.30","736.55","747.15","741.50","-5.65","-0.76",1950321,"1,446,709,111.38","848.00","607.50","6.11","1.27"
"COALINDIA","214.55","215.85","211.60","214.05","212.00","-2.05","-0.96",6003852,"1,281,642,286.44","263.40","149.00","32.79","-5.70"
"SHREECEM","26,530.00","26,530.00","25,875.00","26,530.90","26,260.95","-269.95","-1.02",93446,"2,442,681,243.38","27,049.00","17,865.20","7.51","8.64"
"PIIND","3,265.00","3,265.00","3,179.10","3,269.05","3,231.00","-38.05","-1.16",325964,"1,051,784,779.16","3,698.45","2,351.30","30.47","0.95"
"HINDPETRO","222.95","225.40","220.35","227.25","224.35","-2.90","-1.28",5787659,"1,289,664,054.97","306.70","200.05","-22.37","-7.58"
"PIDILITIND","2,319.95","2,319.95","2,281.00","2,331.85","2,298.00","-33.85","-1.45",330363,"757,961,741.79","2,918.95","1,988.55","-3.89","-2.94"
"NTPC","172.95","173.20","168.50","173.25","170.55","-2.70","-1.56",12225021,"2,082,043,326.51","182.95","123.65","31.30","2.70"
"ULTRACEMCO","7,327.00","7,331.85","7,192.00","7,340.55","7,222.70","-117.85","-1.61",402548,"2,915,156,004.48","7,492.00","5,157.05","7.74","2.28"
"VEDL","306.85","307.85","301.15","308.05","302.95","-5.10","-1.66",6166923,"1,870,859,430.51","440.75","206.00","-12.97","-6.91"
"RAMCOCEM","726.60","733.00","708.75","735.00","722.10","-12.90","-1.76",966440,"693,662,310.00","839.20","575.65","-10.80","4.29"
"TATASTEEL","113.25","113.70","110.65","113.15","111.15","-2.00","-1.77",24391211,"2,728,156,950.35","138.67","82.70","-90.43","-7.97"
"SRF","2,300.05","2,307.10","2,244.70","2,318.20","2,277.00","-41.20","-1.78",444547,"1,007,574,666.44","2,865.00","2,002.20","-2.41","10.12"
"IOC","78.65","78.80","77.10","79.20","77.40","-1.80","-2.27",9878001,"766,532,877.60","90.70","65.20","-33.56","-4.46"
"RELIANCE","2,425.95","2,430.00","2,375.05","2,434.10","2,377.00","-57.10","-2.35",5087729,"12,188,875,874.46","2,856.15","2,180.00","1.43","-0.35"
"JINDALSTEL","589.00","590.55","569.10","589.30","575.00","-14.30","-2.43",1522960,"879,204,808.00","622.75","304.20","41.95","-1.96"
"TATAPOWER","207.55","207.55","201.60","207.95","202.60","-5.35","-2.57",15048335,"3,061,734,239.10","298.05","190.00","-7.58","0.36"
"JSWSTEEL","720.10","723.25","695.00","720.10","700.00","-20.10","-2.79",1810091,"1,271,679,432.05","790.00","520.05","15.57","-2.88"
"TATACHEM","1,000.25","1,001.60","958.55","1,000.25","966.45","-33.80","-3.38",1803876,"1,748,226,425.40","1,214.90","773.35","14.07","2.50"
"SAIL","87.00","87.10","84.00","87.15","84.20","-2.95","-3.38",19537168,"1,662,222,253.44","112.35","63.60","-8.84","-4.75"
"GRASIM","1,634.25","1,634.25","1,570.60","1,633.15","1,577.00","-56.15","-3.44",1052145,"1,672,405,520.40","1,839.50","1,276.60","-3.50","-1.34"
"ACC","1,825.00","1,827.00","1,719.80","1,828.40","1,752.00","-76.40","-4.18",1237245,"2,172,725,944.50","2,785.00","1,695.90","-16.32","-22.38"
"ADANIGREEN","545.00","548.00","539.05","567.40","539.05","-28.35","-5.00",861922,"465,524,072.20","3,050.00","539.05","-70.99","-71.28"
"AMBUJACEM","352.00","352.00","332.10","352.85","334.90","-17.95","-5.09",12696127,"4,302,336,556.49","598.00","274.00","4.22","-31.85"
