"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 18-Feb-2022","30 D % CHNG 
 20-Jan-2023"
"NIFTY DIVIDEND OPPORTUNITIES 50","3,943.00","3,947.35","3,909.60","3,957.55","3,920.50","-37.05","-0.94",199513998,"62,908,425,419.98","3,992.35","3,197.75","9.51","1.48"
"CYIENT","951.55","979.95","941.15","952.80","973.15","20.35","2.14",784693,"758,350,855.99","979.95","720.00","12.19","9.03"
"OIL","245.90","251.65","242.55","254.80","249.85","5.05","2.06",2874767,"708,946,289.87","306.00","167.85","13.07","8.17"
"PETRONET","213.20","217.80","211.65","213.45","216.70","3.25","1.52",1894173,"408,194,281.50","232.00","190.25","2.45","-4.26"
"NAM-INDIA","214.75","219.65","213.05","214.80","218.00","3.20","1.49",399775,"86,687,211.00","357.10","213.05","-29.33","-12.77"
"ITC","382.00","384.90","380.00","382.25","384.15","1.90","0.50",8961077,"3,434,601,592.56","388.20","207.00","75.34","14.24"
"INDUSTOWER","164.00","166.60","162.35","164.10","164.75","0.65","0.40",4555272,"751,847,643.60","254.45","135.15","-34.80","-4.29"
"GAIL","94.95","96.00","93.15","95.30","95.55","0.25","0.26",9721273,"919,632,425.80","115.67","83.00","-30.08","-3.74"
"ANGELONE","1,073.95","1,089.00","1,069.05","1,075.20","1,078.00","2.80","0.26",202023,"217,861,603.20","2,022.00","1,066.00","-18.85","-17.01"
"BAJAJ-AUTO","3,837.10","3,890.25","3,814.95","3,837.10","3,847.00","9.90","0.26",477992,"1,843,964,078.16","4,131.75","3,125.00","7.20","7.40"
"MCX","1,376.05","1,383.95","1,356.00","1,376.75","1,380.00","3.25","0.24",153968,"211,087,048.64","1,697.10","1,143.00","0.04","-12.53"
"COLPAL","1,457.00","1,459.65","1,443.20","1,458.15","1,457.50","-0.65","-0.04",229296,"333,128,107.68","1,695.95","1,388.00","3.35","-2.79"
"CUMMINSIND","1,576.90","1,588.95","1,565.30","1,578.35","1,576.80","-1.55","-0.10",778980,"1,229,316,127.80","1,666.45","909.15","62.61","9.06"
