"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 18-Feb-2022","30 D % CHNG 
 20-Jan-2023"
"NIFTY INDIA CONSUMPTION","7,294.10","7,297.30","7,242.70","7,311.40","7,250.50","-60.90","-0.83",61289241,"46,356,408,616.29","8,146.95","6,177.70","6.34","-0.86"
"VOLTAS","898.10","927.40","895.80","895.80","914.20","18.40","2.05",7876349,"7,199,061,749.49","1,347.65","737.20","-27.97","14.84"
"MARICO","500.75","505.40","498.35","500.40","503.00","2.60","0.52",1412597,"710,493,913.09","554.35","468.50","-1.35","-0.95"
"ITC","382.00","384.90","380.00","382.25","384.15","1.90","0.50",8961077,"3,434,601,592.56","388.20","207.00","75.34","14.24"
"CROMPTON","294.25","298.00","292.00","296.10","297.05","0.95","0.32",764883,"226,229,444.91","431.45","291.35","-24.52","-8.40"
"TRENT","1,328.95","1,352.45","1,323.50","1,338.10","1,342.00","3.90","0.29",556036,"742,880,777.08","1,566.00","980.00","29.24","13.18"
"COLPAL","1,457.00","1,459.65","1,443.20","1,458.15","1,457.50","-0.65","-0.04",229296,"333,128,107.68","1,695.95","1,388.00","3.35","-2.79"
"MARUTI","8,675.50","8,719.00","8,585.00","8,669.85","8,663.45","-6.40","-0.07",363931,"3,150,110,310.49","9,769.00","6,536.55","0.66","2.73"
"DABUR","535.50","535.50","529.60","535.15","533.00","-2.15","-0.40",922754,"491,228,091.90","610.75","482.25","-3.33","-5.45"
"BRITANNIA","4,505.00","4,540.90","4,477.70","4,503.35","4,485.00","-18.35","-0.41",262918,"1,183,843,507.78","4,669.20","3,050.00","29.58","4.27"
"TATACONSUM","726.00","734.00","719.85","726.20","722.90","-3.30","-0.45",1690647,"1,224,451,089.75","861.15","650.20","1.82","-1.66"
"DMART","3,502.00","3,521.85","3,486.60","3,525.60","3,505.00","-20.60","-0.58",117550,"411,604,851.50","4,609.00","3,186.00","-13.94","0.34"
"EICHERMOT","3,270.00","3,270.15","3,215.10","3,274.15","3,255.00","-19.15","-0.58",570379,"1,849,801,838.69","3,889.65","2,159.55","21.31","3.92"
"ASIANPAINT","2,809.95","2,813.95","2,780.00","2,817.10","2,797.90","-19.20","-0.68",580270,"1,621,726,990.60","3,582.90","2,560.00","-13.36","1.05"
"MCDOWELL-N","752.00","752.00","742.00","752.75","746.95","-5.80","-0.77",595470,"443,815,700.40","951.80","712.00","-10.26","-8.42"
"HEROMOTOCO","2,507.00","2,534.65","2,495.00","2,520.55","2,499.80","-20.75","-0.82",310260,"779,866,433.40","2,938.60","2,146.85","-7.11","-8.23"
"HINDUNILVR","2,516.15","2,523.55","2,482.75","2,516.15","2,494.00","-22.15","-0.88",885515,"2,209,545,883.15","2,741.60","1,901.55","9.65","-1.28"
"GODREJCP","935.90","944.00","925.00","937.20","928.85","-8.35","-0.89",805179,"752,109,652.11","956.00","660.05","15.85","0.51"
"NESTLEIND","18,882.80","18,882.80","18,631.15","18,848.70","18,659.95","-188.75","-1.00",42080,"789,021,460.80","21,050.00","16,000.00","4.10","-1.83"
"HAVELLS","1,213.80","1,216.25","1,193.75","1,216.70","1,203.00","-13.70","-1.13",522972,"631,143,528.48","1,405.55","1,024.50","1.29","5.47"
"TITAN","2,451.95","2,462.80","2,414.40","2,463.60","2,429.95","-33.65","-1.37",1098118,"2,671,358,715.06","2,791.00","1,825.05","0.38","3.89"
"APOLLOHOSP","4,505.00","4,535.95","4,440.00","4,502.05","4,440.00","-62.05","-1.38",333978,"1,495,055,856.78","5,016.55","3,361.55","1.70","5.06"
"BHARTIARTL","777.00","781.65","766.50","779.05","767.50","-11.55","-1.48",3261898,"2,528,166,663.88","860.55","628.75","9.73","1.91"
"M&M","1,346.90","1,352.85","1,311.15","1,351.85","1,331.00","-20.85","-1.54",2196484,"2,929,736,253.72","1,397.00","671.15","60.72","2.82"
"JUBLFOOD","458.95","460.60","451.55","460.50","452.50","-8.00","-1.74",2277856,"1,036,766,158.40","652.35","418.75","-84.55","-9.71"
"PAGEIND","38,600.00","38,634.55","37,890.05","38,648.60","37,971.00","-677.60","-1.75",22779,"870,020,214.84","54,349.10","37,170.00","-5.78","-3.94"
"NAUKRI","3,550.00","3,550.00","3,482.00","3,574.65","3,510.00","-64.65","-1.81",327838,"1,148,921,384.52","4,917.55","3,313.00","-19.54","-2.61"
"TATAPOWER","207.55","207.55","201.60","207.95","202.60","-5.35","-2.57",15048335,"3,061,734,239.10","298.05","190.00","-7.58","0.36"
"DLF","355.90","356.20","347.05","357.50","347.85","-9.65","-2.70",3326607,"1,162,948,541.13","418.50","294.70","3.17","-3.20"
"ZEEL","210.65","211.00","200.00","210.65","201.95","-8.70","-4.13",5867677,"1,221,650,351.40","308.70","200.00","-17.18","-5.43"
"ADANITRANS","789.20","789.20","789.20","830.70","789.20","-41.50","-5.00",57508,"45,385,313.60","4,236.75","789.20","-56.18","-69.66"
