"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 18-Feb-2022","30 D % CHNG 
 20-Jan-2023"
"NIFTY INDIA DIGITAL","5,338.05","5,348.00","5,289.60","5,376.35","5,299.90","-76.45","-1.42",208543599,"42,276,972,735.38","7,365.45","4,755.25","-14.41","3.70"
"POLICYBZR","499.00","524.90","487.50","498.10","508.90","10.80","2.17",3884825,"1,984,601,699.50","825.05","356.20","-31.55","14.66"
"CYIENT","951.55","979.95","941.15","952.80","973.15","20.35","2.14",784693,"758,350,855.99","979.95","720.00","12.19","9.03"
"TANLA","640.45","668.75","635.25","646.45","658.00","11.55","1.79",440998,"288,275,982.62","1,649.90","584.50","-59.26","-7.39"
"PERSISTENT","4,906.00","5,074.00","4,892.00","4,968.00","5,027.00","59.00","1.19",386046,"1,919,563,549.02","5,135.00","3,092.05","29.46","14.91"
"HONAUT","35,877.05","36,501.80","35,465.15","35,991.80","36,202.00","210.20","0.58",11534,"415,941,530.14","44,347.15","30,185.35","-11.44","-11.16"
"COFORGE","4,300.00","4,369.00","4,278.90","4,339.95","4,352.00","12.05","0.28",298410,"1,292,264,505.00","4,873.85","3,210.05","-1.65","5.80"
"IDEA","7.00","7.20","6.90","7.00","7.00","-","-",94172202,"662,972,302.08","11.65","6.30","-37.78","-3.45"
"TECHM","1,122.00","1,134.25","1,118.00","1,134.45","1,130.00","-4.45","-0.39",2674708,"3,012,630,608.72","1,574.95","943.70","-20.01","8.40"
"MPHASIS","2,186.60","2,208.45","2,165.00","2,210.30","2,194.30","-16.00","-0.72",317563,"695,967,895.17","3,465.80","1,896.05","-27.88","9.17"
"TATACOMM","1,228.05","1,228.05","1,211.25","1,230.45","1,220.30","-10.15","-0.82",183558,"223,863,665.64","1,430.60","856.25","-0.24","-8.58"
"INTELLECT","462.00","464.70","456.35","464.85","460.50","-4.35","-0.94",228238,"104,948,397.16","986.65","393.45","-30.64","12.98"
"HCLTECH","1,095.00","1,105.55","1,090.05","1,105.20","1,094.00","-11.20","-1.01",2212194,"2,426,732,574.12","1,215.00","877.35","-5.11","-0.23"
"LTTS","3,700.00","3,729.00","3,662.25","3,754.10","3,715.00","-39.10","-1.04",244713,"904,970,698.17","5,295.00","2,924.20","-14.01","16.20"
"INDIAMART","4,754.00","4,760.00","4,680.05","4,760.35","4,708.35","-52.00","-1.09",39798,"187,662,693.24","5,248.00","3,676.00","0.08","4.63"
"INFY","1,563.00","1,575.00","1,555.30","1,579.50","1,561.80","-17.70","-1.12",3656244,"5,722,643,421.48","1,923.30","1,355.00","-8.74","3.54"
"KPITTECH","814.00","833.00","807.60","822.10","812.80","-9.30","-1.13",1365678,"1,120,839,248.16","876.15","440.40","52.07","17.99"
"TCS","3,414.95","3,447.00","3,395.00","3,451.00","3,410.00","-41.00","-1.19",1218430,"4,162,851,385.10","3,835.60","2,926.10","-7.22","2.61"
"OFSS","3,165.15","3,202.00","3,142.30","3,200.60","3,161.00","-39.60","-1.24",121696,"384,219,828.16","3,750.00","2,883.25","-9.22","5.19"
"LTIM","4,815.00","4,815.00","4,758.00","4,878.90","4,815.00","-63.90","-1.31",411601,"1,973,894,335.65","5,107.75","4,121.00","-","14.31"
"BHARTIARTL","777.00","781.65","766.50","779.05","767.50","-11.55","-1.48",3261898,"2,528,166,663.88","860.55","628.75","9.73","1.91"
"BSOFT","284.50","286.05","280.25","287.10","282.50","-4.60","-1.60",1501101,"425,577,144.51","501.60","250.25","-30.47","-1.58"
"NAUKRI","3,550.00","3,550.00","3,482.00","3,574.65","3,510.00","-64.65","-1.81",327838,"1,148,921,384.52","4,917.55","3,313.00","-19.54","-2.61"
"WIPRO","399.50","400.35","394.45","402.75","394.50","-8.25","-2.05",3441686,"1,365,454,503.64","616.00","372.40","-29.44","-0.10"
"TATAELXSI","6,610.00","6,619.90","6,500.00","6,661.75","6,518.00","-143.75","-2.16",83155,"544,506,423.95","10,760.00","5,709.05","-1.06","4.44"
"NYKAA","146.80","146.90","142.60","147.20","143.90","-3.30","-2.24",6898378,"994,677,123.82","315.44","120.70","-88.91","15.72"
"PAYTM","621.85","628.00","605.00","623.05","606.85","-16.20","-2.60",2414579,"1,486,777,019.25","844.70","438.35","-22.86","13.11"
"IRCTC","639.40","639.40","617.80","642.55","618.10","-20.95","-3.28",1476831,"922,797,850.35","840.95","557.00","-20.02","0.17"
"HAPPSTMNDS","900.00","900.00","874.00","908.00","876.50","-31.50","-3.47",322564,"286,065,883.40","1,224.45","785.60","-9.26","6.89"
"SONATSOFTW","714.95","717.25","686.00","722.80","688.75","-34.05","-4.71",360419,"251,168,792.72","753.00","457.59","-2.23","23.39"
"ZOMATO","54.85","55.40","52.60","55.35","52.70","-2.65","-4.79",75802021,"4,079,664,770.22","88.70","40.60","-32.13","7.58"
