"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 18-Feb-2022","30 D % CHNG 
 20-Jan-2023"
"NIFTY INDIA MANUFACTURING","8,217.00","8,219.25","8,120.55","8,230.30","8,137.35","-92.95","-1.13",154332028,"84,793,548,405.23","-","-","6.35","-1.00"
"ALOKINDS","10.10","11.10","10.10","10.60","11.10","0.50","4.72",4156899,"43,772,146.47","29.80","10.10","-","-25.09"
"LINDEINDIA","3,738.00","3,840.00","3,710.55","3,745.05","3,839.90","94.85","2.53",77191,"292,276,774.31","4,190.00","2,503.20","26.04","10.45"
"AUROPHARMA","459.95","474.00","458.05","460.00","470.00","10.00","2.17",2578321,"1,209,748,213.20","727.95","397.20","-28.02","3.44"
"VOLTAS","898.10","927.40","895.80","895.80","914.20","18.40","2.05",7876349,"7,199,061,749.49","1,347.65","737.20","-27.97","14.84"
"BATAINDIA","1,409.55","1,427.00","1,402.45","1,412.80","1,425.50","12.70","0.90",394468,"559,517,355.88","2,039.75","1,402.45","-25.18","-9.78"
"UNOMINDA","501.95","510.50","494.05","502.90","507.00","4.10","0.82",275821,"138,335,264.34","1,092.00","480.00","-","-1.53"
"SUNDRMFAST","971.10","987.75","971.10","975.35","982.10","6.75","0.69",58553,"57,281,814.37","1,033.80","673.05","16.10","-1.62"
"HONAUT","35,877.05","36,501.80","35,465.15","35,991.80","36,202.00","210.20","0.58",11534,"415,941,530.14","44,347.15","30,185.35","-11.44","-11.16"
"GRINDWELL","1,946.95","1,970.45","1,918.30","1,940.80","1,950.05","9.25","0.48",36481,"70,887,690.34","2,328.35","1,451.00","22.79","0.23"
"CROMPTON","294.25","298.00","292.00","296.10","297.05","0.95","0.32",764883,"226,229,444.91","431.45","291.35","-24.52","-8.40"
"KAJARIACER","1,051.00","1,063.50","1,050.00","1,055.00","1,058.00","3.00","0.28",132280,"139,940,334.80","1,282.65","885.30","-16.02","0.25"
"BAJAJ-AUTO","3,837.10","3,890.25","3,814.95","3,837.10","3,847.00","9.90","0.26",477992,"1,843,964,078.16","4,131.75","3,125.00","7.20","7.40"
"BALKRISIND","2,048.00","2,073.65","2,011.00","2,053.05","2,058.00","4.95","0.24",176624,"362,988,813.60","2,450.00","1,690.55","5.64","-7.74"
"APLAPOLLO","1,275.00","1,289.40","1,263.20","1,275.00","1,277.00","2.00","0.16",459037,"584,982,981.69","1,337.90","770.90","53.75","6.54"
"BOSCHLTD","18,344.30","18,469.30","18,232.00","18,476.30","18,281.00","4.70","0.03",24230,"444,416,725.70","18,525.00","12,932.45","17.03","8.98"
"CIPLA","966.60","972.80","959.05","965.95","965.95","-","-",1602953,"1,548,308,332.23","1,185.25","888.15","6.47","-8.31"
"NAVINFLUOR","4,247.25","4,275.00","4,194.00","4,244.45","4,242.00","-2.45","-0.06",102302,"432,448,968.36","4,848.35","3,360.00","11.17","4.41"
"MOTHERSON","81.50","82.45","81.30","82.15","82.10","-0.05","-0.06",12944556,"1,059,253,017.48","106.33","61.80","-","12.53"
"MARUTI","8,675.50","8,719.00","8,585.00","8,669.85","8,663.45","-6.40","-0.07",363931,"3,150,110,310.49","9,769.00","6,536.55","0.66","2.73"
"TORNTPHARM","1,485.00","1,493.40","1,476.35","1,484.95","1,483.75","-1.20","-0.08",148246,"220,053,397.48","1,750.00","1,242.08","-44.07","-6.14"
"DRREDDY","4,486.90","4,520.20","4,469.40","4,486.15","4,482.00","-4.15","-0.09",176461,"792,382,239.01","4,645.00","3,654.00","4.37","3.12"
"CUMMINSIND","1,576.90","1,588.95","1,565.30","1,578.35","1,576.80","-1.55","-0.10",778980,"1,229,316,127.80","1,666.45","909.15","62.61","9.06"
"DIVISLAB","2,915.60","2,936.60","2,904.35","2,918.60","2,913.50","-5.10","-0.17",461368,"1,349,930,472.24","4,640.80","2,740.10","-31.46","-12.70"
