"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 18-Feb-2022","30 D % CHNG 
 20-Jan-2023"
"NIFTY INFRASTRUCTURE","5,150.35","5,150.80","5,056.05","5,161.15","5,065.55","-95.60","-1.85",140628419,"67,037,972,621.17","5,482.80","4,405.55","5.47","-1.83"
"PETRONET","213.20","217.80","211.65","213.45","216.70","3.25","1.52",1894173,"408,194,281.50","232.00","190.25","2.45","-4.26"
"INDUSTOWER","164.00","166.60","162.35","164.10","164.75","0.65","0.40",4555272,"751,847,643.60","254.45","135.15","-34.80","-4.29"
"GAIL","94.95","96.00","93.15","95.30","95.55","0.25","0.26",9721273,"919,632,425.80","115.67","83.00","-30.08","-3.74"
"BALKRISIND","2,048.00","2,073.65","2,011.00","2,053.05","2,058.00","4.95","0.24",176624,"362,988,813.60","2,450.00","1,690.55","5.64","-7.74"
"ONGC","154.25","154.50","151.70","154.10","153.75","-0.35","-0.23",9599697,"1,469,713,610.70","194.95","119.85","-5.69","1.65"
"BPCL","322.50","323.00","316.20","323.25","322.10","-1.15","-0.36",4089274,"1,304,233,049.56","398.80","288.05","-12.34","-6.67"
"INDIGO","1,857.00","1,860.00","1,820.00","1,853.15","1,834.50","-18.65","-1.01",1095395,"2,008,362,916.70","2,180.00","1,511.75","-11.19","-11.75"
"SHREECEM","26,530.00","26,530.00","25,875.00","26,530.90","26,260.95","-269.95","-1.02",93446,"2,442,681,243.38","27,049.00","17,865.20","7.51","8.64"
"POWERGRID","216.00","217.30","213.00","217.20","214.95","-2.25","-1.04",6846495,"1,467,956,992.95","248.35","186.35","9.61","-2.71"
"LT","2,229.00","2,241.00","2,182.05","2,229.45","2,203.00","-26.45","-1.19",2103097,"4,653,733,041.60","2,297.65","1,456.35","19.61","-0.91"
"CONCOR","596.25","596.25","584.45","595.85","588.45","-7.40","-1.24",4515924,"2,655,724,585.92","828.75","554.00","1.24","-15.56"
"HINDPETRO","222.95","225.40","220.35","227.25","224.35","-2.90","-1.28",5787659,"1,289,664,054.97","306.70","200.05","-22.37","-7.58"
"APOLLOHOSP","4,505.00","4,535.95","4,440.00","4,502.05","4,440.00","-62.05","-1.38",333978,"1,495,055,856.78","5,016.55","3,361.55","1.70","5.06"
"SIEMENS","3,295.00","3,313.80","3,246.05","3,294.20","3,248.00","-46.20","-1.40",514766,"1,688,308,936.16","3,313.80","2,150.10","36.37","7.62"
"BHARTIARTL","777.00","781.65","766.50","779.05","767.50","-11.55","-1.48",3261898,"2,528,166,663.88","860.55","628.75","9.73","1.91"
"NTPC","172.95","173.20","168.50","173.25","170.55","-2.70","-1.56",12225021,"2,082,043,326.51","182.95","123.65","31.30","2.70"
"ULTRACEMCO","7,327.00","7,331.85","7,192.00","7,340.55","7,222.70","-117.85","-1.61",402548,"2,915,156,004.48","7,492.00","5,157.05","7.74","2.28"
"IOC","78.65","78.80","77.10","79.20","77.40","-1.80","-2.27",9878001,"766,532,877.60","90.70","65.20","-33.56","-4.46"
"RELIANCE","2,425.95","2,430.00","2,375.05","2,434.10","2,377.00","-57.10","-2.35",5087729,"12,188,875,874.46","2,856.15","2,180.00","1.43","-0.35"
"MRF","89,958.00","90,000.00","87,500.00","89,957.20","87,696.35","-2,260.85","-2.51",10970,"969,970,142.50","96,000.00","63,000.00","38.96","0.45"
"TATAPOWER","207.55","207.55","201.60","207.95","202.60","-5.35","-2.57",15048335,"3,061,734,239.10","298.05","190.00","-7.58","0.36"
"DLF","355.90","356.20","347.05","357.50","347.85","-9.65","-2.70",3326607,"1,162,948,541.13","418.50","294.70","3.17","-3.20"
"ASHOKLEY","147.00","148.00","143.00","147.75","143.30","-4.45","-3.01",7608729,"1,101,743,959.20","169.45","93.20","18.29","2.57"
"IRCTC","639.40","639.40","617.80","642.55","618.10","-20.95","-3.28",1476831,"922,797,850.35","840.95","557.00","-20.02","0.17"
"INDHOTEL","308.00","309.20","298.20","309.85","299.30","-10.55","-3.40",4232835,"1,279,543,692.15","349.00","180.60","51.18","4.84"
"GODREJPROP","1,141.75","1,146.70","1,103.00","1,143.15","1,104.00","-39.15","-3.42",762090,"848,655,803.10","1,715.15","1,103.00","-27.98","-7.15"
"GRASIM","1,634.25","1,634.25","1,570.60","1,633.15","1,577.00","-56.15","-3.44",1052145,"1,672,405,520.40","1,839.50","1,276.60","-3.50","-1.34"
"ACC","1,825.00","1,827.00","1,719.80","1,828.40","1,752.00","-76.40","-4.18",1237245,"2,172,725,944.50","2,785.00","1,695.90","-16.32","-22.38"
"AMBUJACEM","352.00","352.00","332.10","352.85","334.90","-17.95","-5.09",12696127,"4,302,336,556.49","598.00","274.00","4.22","-31.85"
"ADANIPORTS","583.50","583.55","540.00","583.20","540.95","-42.25","-7.24",10994235,"6,144,238,172.10","987.85","395.10","-17.99","-24.69"
