"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 18-Feb-2022","30 D % CHNG 
 20-Jan-2023"
"NIFTY LARGEMIDCAP 250","9,793.30","9,799.50","9,681.75","9,829.55","9,705.45","-124.10","-1.26",969856377,"318,083,844,711.61","10,513.10","5,635.20","4.33","-2.29"
"THERMAX","1,994.55","2,164.55","1,985.05","2,000.10","2,141.00","140.90","7.04",179060,"374,844,204.00","2,679.00","1,651.00","11.11","2.06"
"LINDEINDIA","3,738.00","3,840.00","3,710.55","3,745.05","3,839.90","94.85","2.53",77191,"292,276,774.31","4,190.00","2,503.20","26.04","10.45"
"AUROPHARMA","459.95","474.00","458.05","460.00","470.00","10.00","2.17",2578321,"1,209,748,213.20","727.95","397.20","-28.02","3.44"
"POLICYBZR","499.00","524.90","487.50","498.10","508.90","10.80","2.17",3884825,"1,984,601,699.50","825.05","356.20","-31.55","14.66"
"OIL","245.90","251.65","242.55","254.80","249.85","5.05","2.06",2874767,"708,946,289.87","306.00","167.85","13.07","8.17"
"VOLTAS","898.10","927.40","895.80","895.80","914.20","18.40","2.05",7876349,"7,199,061,749.49","1,347.65","737.20","-27.97","14.84"
"PETRONET","213.20","217.80","211.65","213.45","216.70","3.25","1.52",1894173,"408,194,281.50","232.00","190.25","2.45","-4.26"
"NAM-INDIA","214.75","219.65","213.05","214.80","218.00","3.20","1.49",399775,"86,687,211.00","357.10","213.05","-29.33","-12.77"
"ABBOTINDIA","20,005.10","20,298.95","19,968.10","20,029.15","20,297.05","267.90","1.34",9198,"185,933,430.90","22,499.00","15,870.00","22.94","-8.11"
"EMAMILTD","390.00","395.95","386.55","390.15","395.00","4.85","1.24",246718,"96,123,799.98","524.00","385.00","-21.31","-8.08"
"PERSISTENT","4,906.00","5,074.00","4,892.00","4,968.00","5,027.00","59.00","1.19",386046,"1,919,563,549.02","5,135.00","3,092.05","29.46","14.91"
"IPCALAB","813.25","826.55","808.00","813.60","823.00","9.40","1.16",361131,"295,589,334.81","1,095.00","808.00","-15.41","-5.63"
"PHOENIXLTD","1,284.05","1,306.70","1,280.00","1,290.65","1,305.00","14.35","1.11",141598,"182,828,505.64","1,624.00","885.05","32.22","-7.49"
"IEX","144.05","146.40","142.65","144.05","145.60","1.55","1.08",12020712,"1,738,435,369.44","251.50","129.25","-31.47","6.15"
"BATAINDIA","1,409.55","1,427.00","1,402.45","1,412.80","1,425.50","12.70","0.90",394468,"559,517,355.88","2,039.75","1,402.45","-25.18","-9.78"
