"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 18-Feb-2022","30 D % CHNG 
 20-Jan-2023"
"NIFTY MICROCAP 250","10,607.90","10,615.05","10,452.95","10,638.70","10,465.95","-172.75","-1.62",196977896,"15,396,785,218.97","11,693.10","5,802.95","8.75","-4.73"
"CARYSIL","513.00","548.95","511.30","507.45","546.95","39.50","7.78",500054,"267,268,861.92","548.95","431.05","-","15.32"
"TIIL","1,093.70","1,170.00","1,087.55","1,082.85","1,135.00","52.15","4.82",146535,"168,789,270.45","1,239.90","701.05","30.99","15.95"
"JCHAC","1,203.10","1,310.70","1,191.05","1,197.10","1,253.00","55.90","4.67",297987,"379,408,967.88","2,271.00","1,050.00","-33.19","8.57"
"RELIGARE","147.00","153.90","145.85","148.55","153.90","5.35","3.60",287625,"43,089,101.25","192.45","97.65","20.77","-12.31"
"INDOSTAR","140.75","144.00","137.00","137.15","141.95","4.80","3.50",18451,"2,596,055.70","252.00","117.25","-","-10.36"
"VALIANTORG","413.90","438.00","411.20","413.55","424.70","11.15","2.70",125378,"52,880,679.06","1,090.00","411.20","-54.54","-20.16"
"VIDHIING","330.15","339.90","329.05","329.95","338.50","8.55","2.59",21747,"7,275,458.85","513.85","320.00","-9.70","-8.14"
"INOXWIND","95.00","99.00","94.05","95.35","97.50","2.15","2.25",637881,"61,785,153.66","159.90","75.40","-19.30","-11.51"
"HCG","272.65","282.40","270.95","272.65","278.70","6.05","2.22",127832,"35,639,561.60","318.00","214.90","18.75","-4.43"
"MMFL","845.70","863.05","844.00","845.70","863.00","17.30","2.05",15225,"13,034,274.75","1,036.10","730.00","9.50","-1.69"
"SPLPETRO","369.80","379.45","362.55","365.80","372.50","6.70","1.83",67623,"25,301,145.45","470.98","337.50","-","1.39"
"TASTYBITE","8,902.25","9,199.80","8,902.25","9,044.00","9,190.00","146.00","1.61",993,"8,961,427.80","13,700.00","8,050.00","-24.34","-12.66"
"RUPA","219.20","223.95","215.35","219.20","222.70","3.50","1.60",160801,"35,418,028.26","585.85","215.35","-52.47","-22.31"
"BEPL","104.00","107.75","103.70","104.60","106.10","1.50","1.43",384491,"40,971,360.96","144.75","98.00","-23.84","-8.69"
"HNDFDS","564.90","580.00","555.00","567.15","575.00","7.85","1.38",16051,"9,053,245.53","749.00","324.53","-","-2.77"
"DATAPATTNS","1,260.00","1,309.95","1,240.40","1,266.40","1,283.00","16.60","1.31",374275,"479,464,988.75","1,540.00","575.00","104.08","1.36"
"VSTIND","3,144.00","3,194.80","3,129.55","3,134.60","3,175.00","40.40","1.29",17437,"55,284,182.87","3,879.95","2,794.00","5.06","-0.77"
"ERIS","633.65","641.80","620.45","634.20","641.80","7.60","1.20",36768,"23,074,493.76","749.80","600.30","-8.59","0.41"
"ISGEC","445.00","456.45","441.25","444.80","450.00","5.20","1.17",38023,"17,087,916.43","599.00","425.00","-17.58","-1.84"
"BECTORFOOD","509.40","520.00","503.55","509.35","515.00","5.65","1.11",221695,"113,776,090.95","557.35","245.00","55.03","7.64"
"CHOICEIN","257.50","264.00","255.80","257.50","260.00","2.50","0.97",477613,"124,059,976.75","299.40","148.50","-","-3.95"
"FAIRCHEMOR","966.75","992.30","961.70","976.50","984.00","7.50","0.77",15231,"14,797,373.43","2,449.90","940.00","-42.17","-18.31"
"PDSL","337.00","340.25","334.55","337.60","340.00","2.40","0.71",17633,"5,968,946.83","408.26","280.00","-79.15","2.13"
"KIRLFER","409.50","414.50","395.05","408.20","410.70","2.50","0.61",316702,"128,273,811.06","426.30","185.00","104.41","14.84"
"GUFICBIO","212.30","215.80","210.15","212.25","213.30","1.05","0.49",65294,"13,881,504.40","290.00","192.15","2.34","-2.84"
"BAJAJCON","165.45","168.25","165.00","166.95","167.65","0.70","0.42",182623,"30,466,995.09","185.40","129.05","-","-4.35"
"TEGA","620.55","640.00","620.55","632.50","635.05","2.55","0.40",34348,"21,735,070.92","669.75","397.00","40.48","9.00"
"INDIAGLYCO","638.80","642.60","634.55","639.40","641.70","2.30","0.36",16326,"10,409,457.60","1,151.95","596.75","-15.93","-9.62"
"STAR","297.00","299.95","290.50","297.05","297.95","0.90","0.30",215221,"63,705,416.00","392.00","263.35","-16.22","-9.55"
"MINDACORP","195.45","197.45","191.25","196.35","196.90","0.55","0.28",929393,"180,227,890.56","287.00","163.50","2.53","-13.84"
"KENNAMET","2,015.00","2,099.00","2,015.00","2,064.25","2,070.00","5.75","0.28",11086,"22,794,922.34","2,890.00","1,527.15","9.12","-9.24"
"SURYODAY","100.25","101.85","99.95","100.25","100.50","0.25","0.25",265386,"26,753,562.66","157.95","77.00","-19.25","-11.20"
