"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 18-Feb-2022","30 D % CHNG 
 20-Jan-2023"
"NIFTY MIDCAP 50","8,580.05","8,598.85","8,491.10","8,609.95","8,519.75","-90.20","-1.05",276375212,"50,911,438,777.94","9,086.75","6,963.15","8.54","-0.89"
"AUROPHARMA","459.95","474.00","458.05","460.00","470.00","10.00","2.17",2578321,"1,209,748,213.20","727.95","397.20","-28.02","3.44"
"VOLTAS","898.10","927.40","895.80","895.80","914.20","18.40","2.05",7876349,"7,199,061,749.49","1,347.65","737.20","-27.97","14.84"
"PETRONET","213.20","217.80","211.65","213.45","216.70","3.25","1.52",1894173,"408,194,281.50","232.00","190.25","2.45","-4.26"
"ABBOTINDIA","20,005.10","20,298.95","19,968.10","20,029.15","20,297.05","267.90","1.34",9198,"185,933,430.90","22,499.00","15,870.00","22.94","-8.11"
"PERSISTENT","4,906.00","5,074.00","4,892.00","4,968.00","5,027.00","59.00","1.19",386046,"1,919,563,549.02","5,135.00","3,092.05","29.46","14.91"
"BATAINDIA","1,409.55","1,427.00","1,402.45","1,412.80","1,425.50","12.70","0.90",394468,"559,517,355.88","2,039.75","1,402.45","-25.18","-9.78"
"ALKEM","3,255.65","3,292.00","3,235.75","3,255.65","3,278.90","23.25","0.71",75751,"247,516,392.50","3,724.95","2,828.00","-1.96","7.36"
"HONAUT","35,877.05","36,501.80","35,465.15","35,991.80","36,202.00","210.20","0.58",11534,"415,941,530.14","44,347.15","30,185.35","-11.44","-11.16"
"TRENT","1,328.95","1,352.45","1,323.50","1,338.10","1,342.00","3.90","0.29",556036,"742,880,777.08","1,566.00","980.00","29.24","13.18"
"COFORGE","4,300.00","4,369.00","4,278.90","4,339.95","4,352.00","12.05","0.28",298410,"1,292,264,505.00","4,873.85","3,210.05","-1.65","5.80"
"BALKRISIND","2,048.00","2,073.65","2,011.00","2,053.05","2,058.00","4.95","0.24",176624,"362,988,813.60","2,450.00","1,690.55","5.64","-7.74"
"IDEA","7.00","7.20","6.90","7.00","7.00","-","-",94172202,"662,972,302.08","11.65","6.30","-37.78","-3.45"
"CUMMINSIND","1,576.90","1,588.95","1,565.30","1,578.35","1,576.80","-1.55","-0.10",778980,"1,229,316,127.80","1,666.45","909.15","62.61","9.06"
"TORNTPOWER","496.00","504.80","488.55","517.95","495.00","-0.95","-0.19",1563125,"776,091,562.50","610.00","415.25","8.44","12.60"
