"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 18-Feb-2022","30 D % CHNG 
 20-Jan-2023"
"NIFTY MIDCAP150 QUALITY 50","15,820.90","15,865.70","15,740.70","15,867.55","15,789.60","-77.95","-0.49",32751115,"24,762,437,672.65","-","-","-1.67","0.21"
"VOLTAS","898.10","927.40","895.80","895.80","914.20","18.40","2.05",7876349,"7,199,061,749.49","1,347.65","737.20","-27.97","14.84"
"PETRONET","213.20","217.80","211.65","213.45","216.70","3.25","1.52",1894173,"408,194,281.50","232.00","190.25","2.45","-4.26"
"NAM-INDIA","214.75","219.65","213.05","214.80","218.00","3.20","1.49",399775,"86,687,211.00","357.10","213.05","-29.33","-12.77"
"ABBOTINDIA","20,005.10","20,298.95","19,968.10","20,029.15","20,297.05","267.90","1.34",9198,"185,933,430.90","22,499.00","15,870.00","22.94","-8.11"
"EMAMILTD","390.00","395.95","386.55","390.15","395.00","4.85","1.24",246718,"96,123,799.98","524.00","385.00","-21.31","-8.08"
"PERSISTENT","4,906.00","5,074.00","4,892.00","4,968.00","5,027.00","59.00","1.19",386046,"1,919,563,549.02","5,135.00","3,092.05","29.46","14.91"
"IPCALAB","813.25","826.55","808.00","813.60","823.00","9.40","1.16",361131,"295,589,334.81","1,095.00","808.00","-15.41","-5.63"
"IEX","144.05","146.40","142.65","144.05","145.60","1.55","1.08",12020712,"1,738,435,369.44","251.50","129.25","-31.47","6.15"
"KANSAINER","414.65","417.40","409.35","413.35","416.95","3.60","0.87",86028,"35,625,915.36","535.90","358.15","-15.94","-1.24"
"VINATIORGA","1,855.00","1,882.00","1,845.00","1,858.95","1,874.80","15.85","0.85",40338,"75,247,311.96","2,377.00","1,674.20","1.70","-5.19"
"HONAUT","35,877.05","36,501.80","35,465.15","35,991.80","36,202.00","210.20","0.58",11534,"415,941,530.14","44,347.15","30,185.35","-11.44","-11.16"
"PFIZER","3,816.65","3,840.00","3,789.80","3,820.45","3,840.00","19.55","0.51",5010,"19,126,075.80","4,660.00","3,750.00","-11.00","-7.68"
"GRINDWELL","1,946.95","1,970.45","1,918.30","1,940.80","1,950.05","9.25","0.48",36481,"70,887,690.34","2,328.35","1,451.00","22.79","0.23"
"CROMPTON","294.25","298.00","292.00","296.10","297.05","0.95","0.32",764883,"226,229,444.91","431.45","291.35","-24.52","-8.40"
"KAJARIACER","1,051.00","1,063.50","1,050.00","1,055.00","1,058.00","3.00","0.28",132280,"139,940,334.80","1,282.65","885.30","-16.02","0.25"
"COFORGE","4,300.00","4,369.00","4,278.90","4,339.95","4,352.00","12.05","0.28",298410,"1,292,264,505.00","4,873.85","3,210.05","-1.65","5.80"
"BALKRISIND","2,048.00","2,073.65","2,011.00","2,053.05","2,058.00","4.95","0.24",176624,"362,988,813.60","2,450.00","1,690.55","5.64","-7.74"
"APLAPOLLO","1,275.00","1,289.40","1,263.20","1,275.00","1,277.00","2.00","0.16",459037,"584,982,981.69","1,337.90","770.90","53.75","6.54"
"APLLTD","519.70","524.95","515.25","520.45","521.00","0.55","0.11",299436,"155,446,210.68","792.90","494.80","-24.78","-6.16"
"NAVINFLUOR","4,247.25","4,275.00","4,194.00","4,244.45","4,242.00","-2.45","-0.06",102302,"432,448,968.36","4,848.35","3,360.00","11.17","4.41"
"GLAXO","1,281.35","1,296.00","1,272.80","1,295.45","1,294.50","-0.95","-0.07",82592,"106,560,198.40","1,734.00","1,231.00","-17.35","0.48"
"SANOFI","5,395.85","5,408.55","5,385.05","5,395.85","5,390.00","-5.85","-0.11",7235,"39,059,377.45","7,929.45","5,202.10","-24.77","-4.96"
"SKFINDIA","4,423.15","4,475.00","4,395.60","4,463.70","4,450.00","-13.70","-0.31",21936,"97,499,816.64","5,175.00","2,981.30","30.55","-2.18"
"ISEC","477.95","479.90","463.10","478.70","477.15","-1.55","-0.32",115592,"54,634,558.80","694.90","408.40","-26.97","-4.28"
"ATUL","7,200.05","7,200.05","7,094.05","7,201.30","7,170.00","-31.30","-0.43",33046,"235,720,753.06","10,647.40","6,873.75","-21.76","-3.10"
"AJANTPHARM","1,215.15","1,236.10","1,208.60","1,219.65","1,213.00","-6.65","-0.55",52534,"64,286,906.48","2,010.00","1,111.60","-36.45","5.15"
"RELAXO","793.75","794.00","780.05","789.80","785.45","-4.35","-0.55",83312,"65,389,089.44","1,279.90","770.00","-37.06","-6.03"
"ALKYLAMINE","2,516.05","2,547.95","2,500.00","2,536.95","2,521.00","-15.95","-0.63",13357,"33,664,448.52","3,455.60","2,487.00","-15.77","-4.55"
"DEEPAKNTR","1,802.00","1,814.25","1,771.00","1,804.40","1,793.00","-11.40","-0.63",349522,"625,756,227.04","2,391.00","1,681.15","-10.00","-4.41"
"BAYERCROP","4,405.00","4,443.40","4,388.00","4,437.20","4,398.05","-39.15","-0.88",8091,"35,668,121.67","5,667.75","4,218.05","1.22","-4.15"
"GUJGASLTD","502.10","518.00","500.25","506.55","501.70","-4.85","-0.96",1429841,"727,646,084.90","674.60","403.55","-23.26","9.92"
"LTTS","3,700.00","3,729.00","3,662.25","3,754.10","3,715.00","-39.10","-1.04",244713,"904,970,698.17","5,295.00","2,924.20","-14.01","16.20"
"GSPL","268.80","271.15","265.20","268.85","266.00","-2.85","-1.06",671663,"180,912,429.05","296.75","209.45","-5.37","0.90"
"SUPREMEIND","2,745.00","2,750.00","2,672.35","2,756.65","2,725.30","-31.35","-1.14",85580,"231,536,690.00","2,789.00","1,666.25","41.24","16.76"
"SOLARINDS","4,004.00","4,004.00","3,948.05","3,995.50","3,950.00","-45.50","-1.14",23248,"92,200,173.12","4,538.00","2,191.90","72.85","-5.97"
"OFSS","3,165.15","3,202.00","3,142.30","3,200.60","3,161.00","-39.60","-1.24",121696,"384,219,828.16","3,750.00","2,883.25","-9.22","5.19"
"HINDZINC","323.40","323.40","315.00","321.70","317.35","-4.35","-1.35",366016,"116,590,736.64","383.00","242.05","2.99","-8.87"
"AUBANK","603.00","606.30","588.25","605.10","596.50","-8.60","-1.42",1077300,"641,262,825.00","732.98","525.00","-52.05","-1.83"
"COROMANDEL","901.45","903.90","885.00","902.40","889.00","-13.40","-1.48",421421,"378,288,560.65","1,094.00","729.55","14.75","4.15"
"3MINDIA","22,348.00","22,348.00","21,700.00","22,212.35","21,863.00","-349.35","-1.57",2414,"53,024,644.58","25,209.00","17,273.00","0.25","-2.18"
"TIINDIA","2,529.70","2,560.45","2,503.00","2,547.75","2,506.50","-41.25","-1.62",116862,"295,283,395.74","3,046.20","1,441.95","55.89","-3.30"
"SUNTV","443.70","444.90","432.65","443.45","435.85","-7.60","-1.71",496310,"217,105,846.40","568.50","402.55","-6.19","-8.49"
"PAGEIND","38,600.00","38,634.55","37,890.05","38,648.60","37,971.00","-677.60","-1.75",22779,"870,020,214.84","54,349.10","37,170.00","-5.78","-3.94"
"WHIRLPOOL","1,295.00","1,297.55","1,270.00","1,297.95","1,274.15","-23.80","-1.83",88454,"113,546,630.72","1,905.00","1,217.25","-23.41","-8.85"
"AIAENG","2,724.95","2,735.90","2,671.35","2,728.20","2,675.05","-53.15","-1.95",35686,"96,266,910.46","2,911.25","1,475.05","53.91","12.53"
"TATAELXSI","6,610.00","6,619.90","6,500.00","6,661.75","6,518.00","-143.75","-2.16",83155,"544,506,423.95","10,760.00","5,709.05","-1.06","4.44"
"LALPATHLAB","1,980.70","1,984.75","1,912.35","1,982.70","1,935.10","-47.60","-2.40",184024,"356,533,618.32","2,878.55","1,805.55","-26.14","-5.85"
"KPRMILL","603.00","614.15","585.50","605.75","589.00","-16.75","-2.77",205377,"123,031,091.85","710.00","479.45","-8.26","16.75"
"CRISIL","3,280.00","3,280.00","3,168.85","3,281.90","3,173.60","-108.30","-3.30",14760,"47,609,560.80","3,863.55","2,540.00","17.84","9.30"
"ASTRAL","1,943.75","1,943.75","1,850.00","1,944.45","1,852.00","-92.45","-4.75",686134,"1,288,923,303.02","2,654.80","1,581.55","6.76","-2.54"
