"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 18-Feb-2022","30 D % CHNG 
 20-Jan-2023"
"NIFTY MNC","19,357.20","19,358.15","19,169.80","19,377.70","19,221.20","-156.50","-0.81",126728523,"24,545,882,451.81","20,626.45","16,805.30","4.09","-1.50"
"ABBOTINDIA","20,005.10","20,298.95","19,968.10","20,029.15","20,297.05","267.90","1.34",9198,"185,933,430.90","22,499.00","15,870.00","22.94","-8.11"
"BATAINDIA","1,409.55","1,427.00","1,402.45","1,412.80","1,425.50","12.70","0.90",394468,"559,517,355.88","2,039.75","1,402.45","-25.18","-9.78"
"KANSAINER","414.65","417.40","409.35","413.35","416.95","3.60","0.87",86028,"35,625,915.36","535.90","358.15","-15.94","-1.24"
"HONAUT","35,877.05","36,501.80","35,465.15","35,991.80","36,202.00","210.20","0.58",11534,"415,941,530.14","44,347.15","30,185.35","-11.44","-11.16"
"PFIZER","3,816.65","3,840.00","3,789.80","3,820.45","3,840.00","19.55","0.51",5010,"19,126,075.80","4,660.00","3,750.00","-11.00","-7.68"
"GRINDWELL","1,946.95","1,970.45","1,918.30","1,940.80","1,950.05","9.25","0.48",36481,"70,887,690.34","2,328.35","1,451.00","22.79","0.23"
"BOSCHLTD","18,344.30","18,469.30","18,232.00","18,476.30","18,281.00","4.70","0.03",24230,"444,416,725.70","18,525.00","12,932.45","17.03","8.98"
"IDEA","7.00","7.20","6.90","7.00","7.00","-","-",94172202,"662,972,302.08","11.65","6.30","-37.78","-3.45"
"COLPAL","1,457.00","1,459.65","1,443.20","1,458.15","1,457.50","-0.65","-0.04",229296,"333,128,107.68","1,695.95","1,388.00","3.35","-2.79"
"GLAXO","1,281.35","1,296.00","1,272.80","1,295.45","1,294.50","-0.95","-0.07",82592,"106,560,198.40","1,734.00","1,231.00","-17.35","0.48"
"MARUTI","8,675.50","8,719.00","8,585.00","8,669.85","8,663.45","-6.40","-0.07",363931,"3,150,110,310.49","9,769.00","6,536.55","0.66","2.73"
"CUMMINSIND","1,576.90","1,588.95","1,565.30","1,578.35","1,576.80","-1.55","-0.10",778980,"1,229,316,127.80","1,666.45","909.15","62.61","9.06"
"SANOFI","5,395.85","5,408.55","5,385.05","5,395.85","5,390.00","-5.85","-0.11",7235,"39,059,377.45","7,929.45","5,202.10","-24.77","-4.96"
"ABB","3,169.95","3,188.90","3,129.30","3,169.40","3,163.00","-6.40","-0.20",218407,"690,214,169.54","3,446.30","1,944.60","50.84","8.03"
"GLAND","1,337.00","1,360.95","1,306.25","1,329.65","1,325.95","-3.70","-0.28",610922,"813,485,407.54","3,559.40","1,167.00","-59.12","-4.11"
"SKFINDIA","4,423.15","4,475.00","4,395.60","4,463.70","4,450.00","-13.70","-0.31",21936,"97,499,816.64","5,175.00","2,981.30","30.55","-2.18"
"BRITANNIA","4,505.00","4,540.90","4,477.70","4,503.35","4,485.00","-18.35","-0.41",262918,"1,183,843,507.78","4,669.20","3,050.00","29.58","4.27"
"SCHAEFFLER","3,010.00","3,020.00","2,952.60","2,989.45","2,973.00","-16.45","-0.55",152871,"457,755,393.69","3,969.85","1,650.05","60.11","12.02"
"MPHASIS","2,186.60","2,208.45","2,165.00","2,210.30","2,194.30","-16.00","-0.72",317563,"695,967,895.17","3,465.80","1,896.05","-27.88","9.17"
"MCDOWELL-N","752.00","752.00","742.00","752.75","746.95","-5.80","-0.77",595470,"443,815,700.40","951.80","712.00","-10.26","-8.42"
"HINDUNILVR","2,516.15","2,523.55","2,482.75","2,516.15","2,494.00","-22.15","-0.88",885515,"2,209,545,883.15","2,741.60","1,901.55","9.65","-1.28"
"NESTLEIND","18,882.80","18,882.80","18,631.15","18,848.70","18,659.95","-188.75","-1.00",42080,"789,021,460.80","21,050.00","16,000.00","4.10","-1.83"
"OFSS","3,165.15","3,202.00","3,142.30","3,200.60","3,161.00","-39.60","-1.24",121696,"384,219,828.16","3,750.00","2,883.25","-9.22","5.19"
"SIEMENS","3,295.00","3,313.80","3,246.05","3,294.20","3,248.00","-46.20","-1.40",514766,"1,688,308,936.16","3,313.80","2,150.10","36.37","7.62"
"3MINDIA","22,348.00","22,348.00","21,700.00","22,212.35","21,863.00","-349.35","-1.57",2414,"53,024,644.58","25,209.00","17,273.00","0.25","-2.18"
"VEDL","306.85","307.85","301.15","308.05","302.95","-5.10","-1.66",6166923,"1,870,859,430.51","440.75","206.00","-12.97","-6.91"
"PGHH","13,675.00","13,675.00","13,467.30","13,698.45","13,467.30","-231.15","-1.69",5408,"73,529,655.68","15,800.00","12,801.00","-11.79","0.67"
"UBL","1,462.05","1,463.95","1,436.00","1,464.35","1,437.00","-27.35","-1.87",303593,"438,115,058.30","1,806.45","1,274.50","-4.00","-6.65"
"ASHOKLEY","147.00","148.00","143.00","147.75","143.30","-4.45","-3.01",7608729,"1,101,743,959.20","169.45","93.20","18.29","2.57"
"AMBUJACEM","352.00","352.00","332.10","352.85","334.90","-17.95","-5.09",12696127,"4,302,336,556.49","598.00","274.00","4.22","-31.85"
