"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 18-Feb-2022","30 D % CHNG 
 20-Jan-2023"
"NIFTY NEXT 50","38,074.35","38,074.35","37,574.00","38,248.25","37,698.00","-550.25","-1.44",222414549,"55,212,336,919.63","45,509.70","35,018.20","-4.80","-8.63"
"MARICO","500.75","505.40","498.35","500.40","503.00","2.60","0.52",1412597,"710,493,913.09","554.35","468.50","-1.35","-0.95"
"INDUSTOWER","164.00","166.60","162.35","164.10","164.75","0.65","0.40",4555272,"751,847,643.60","254.45","135.15","-34.80","-4.29"
"GAIL","94.95","96.00","93.15","95.30","95.55","0.25","0.26",9721273,"919,632,425.80","115.67","83.00","-30.08","-3.74"
"BOSCHLTD","18,344.30","18,469.30","18,232.00","18,476.30","18,281.00","4.70","0.03",24230,"444,416,725.70","18,525.00","12,932.45","17.03","8.98"
"SBICARD","745.60","745.95","732.00","745.60","745.65","0.05","0.01",546212,"404,153,183.04","1,028.65","655.70","-7.08","-0.91"
"ICICIGI","1,096.25","1,104.25","1,089.25","1,100.15","1,100.00","-0.15","-0.01",362708,"397,926,946.80","1,412.00","1,071.00","-13.15","-4.63"
"COLPAL","1,457.00","1,459.65","1,443.20","1,458.15","1,457.50","-0.65","-0.04",229296,"333,128,107.68","1,695.95","1,388.00","3.35","-2.79"
"MOTHERSON","81.50","82.45","81.30","82.15","82.10","-0.05","-0.06",12944556,"1,059,253,017.48","106.33","61.80","-","12.53"
"TORNTPHARM","1,485.00","1,493.40","1,476.35","1,484.95","1,483.75","-1.20","-0.08",148246,"220,053,397.48","1,750.00","1,242.08","-44.07","-6.14"
"LICI","597.00","598.70","593.45","597.15","595.95","-1.20","-0.20",761922,"453,602,643.48","918.95","582.35","-","-14.52"
"GLAND","1,337.00","1,360.95","1,306.25","1,329.65","1,325.95","-3.70","-0.28",610922,"813,485,407.54","3,559.40","1,167.00","-59.12","-4.11"
"DABUR","535.50","535.50","529.60","535.15","533.00","-2.15","-0.40",922754,"491,228,091.90","610.75","482.25","-3.33","-5.45"
"DMART","3,502.00","3,521.85","3,486.60","3,525.60","3,505.00","-20.60","-0.58",117550,"411,604,851.50","4,609.00","3,186.00","-13.94","0.34"
"BERGEPAINT","567.00","569.95","560.00","570.60","567.00","-3.60","-0.63",886640,"499,568,441.60","743.00","527.15","-21.48","2.41"
"BEL","95.70","96.15","94.80","95.55","94.90","-0.65","-0.68",14589841,"1,390,703,644.12","114.65","62.33","-51.78","-6.14"
"MPHASIS","2,186.60","2,208.45","2,165.00","2,210.30","2,194.30","-16.00","-0.72",317563,"695,967,895.17","3,465.80","1,896.05","-27.88","9.17"
"HDFCAMC","1,834.35","1,836.00","1,807.40","1,833.15","1,819.75","-13.40","-0.73",223820,"407,961,190.40","2,480.00","1,690.00","-15.57","-9.35"
"MCDOWELL-N","752.00","752.00","742.00","752.75","746.95","-5.80","-0.77",595470,"443,815,700.40","951.80","712.00","-10.26","-8.42"
"BANDHANBNK","227.30","229.25","226.05","229.80","228.00","-1.80","-0.78",4211645,"958,570,402.00","349.55","209.55","-26.82","-3.10"
"GODREJCP","935.90","944.00","925.00","937.20","928.85","-8.35","-0.89",805179,"752,109,652.11","956.00","660.05","15.85","0.51"
"INDIGO","1,857.00","1,860.00","1,820.00","1,853.15","1,834.50","-18.65","-1.01",1095395,"2,008,362,916.70","2,180.00","1,511.75","-11.19","-11.75"
"SHREECEM","26,530.00","26,530.00","25,875.00","26,530.90","26,260.95","-269.95","-1.02",93446,"2,442,681,243.38","27,049.00","17,865.20","7.51","8.64"
"BAJAJHLDNG","6,051.15","6,066.30","5,999.25","6,079.35","6,013.00","-66.35","-1.09",9943,"59,884,501.54","7,378.45","4,294.05","13.57","8.93"
"HAVELLS","1,213.80","1,216.25","1,193.75","1,216.70","1,203.00","-13.70","-1.13",522972,"631,143,528.48","1,405.55","1,024.50","1.29","5.47"
"CHOLAFIN","772.90","774.05","762.60","773.40","764.50","-8.90","-1.15",675975,"519,121,761.00","817.75","595.10","14.72","9.51"
"PIIND","3,265.00","3,265.00","3,179.10","3,269.05","3,231.00","-38.05","-1.16",325964,"1,051,784,779.16","3,698.45","2,351.30","30.47","0.95"
"LTIM","4,815.00","4,815.00","4,758.00","4,878.90","4,815.00","-63.90","-1.31",411601,"1,973,894,335.65","5,107.75","4,121.00","-","14.31"
"MUTHOOTFIN","985.75","986.80","966.95","985.80","972.70","-13.10","-1.33",385970,"375,842,147.20","1,448.00","950.20","-25.42","-6.33"
"SIEMENS","3,295.00","3,313.80","3,246.05","3,294.20","3,248.00","-46.20","-1.40",514766,"1,688,308,936.16","3,313.80","2,150.10","36.37","7.62"
"PIDILITIND","2,319.95","2,319.95","2,281.00","2,331.85","2,298.00","-33.85","-1.45",330363,"757,961,741.79","2,918.95","1,988.55","-3.89","-2.94"
"VEDL","306.85","307.85","301.15","308.05","302.95","-5.10","-1.66",6166923,"1,870,859,430.51","440.75","206.00","-12.97","-6.91"
"PGHH","13,675.00","13,675.00","13,467.30","13,698.45","13,467.30","-231.15","-1.69",5408,"73,529,655.68","15,800.00","12,801.00","-11.79","0.67"
"SRF","2,300.05","2,307.10","2,244.70","2,318.20","2,277.00","-41.20","-1.78",444547,"1,007,574,666.44","2,865.00","2,002.20","-2.41","10.12"
"BANKBARODA","158.70","159.35","155.60","159.90","157.05","-2.85","-1.78",22746525,"3,576,891,056.25","197.20","89.85","54.12","-10.84"
"NAUKRI","3,550.00","3,550.00","3,482.00","3,574.65","3,510.00","-64.65","-1.81",327838,"1,148,921,384.52","4,917.55","3,313.00","-19.54","-2.61"
