"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 18-Feb-2022","30 D % CHNG 
 20-Jan-2023"
"NIFTY SMALLCAP 100","9,321.55","9,342.65","9,219.90","9,351.45","9,244.80","-106.65","-1.14",307843559,"28,575,081,535.44","11,001.50","7,904.90","-6.94","-2.27"
"IRB","30.40","34.90","29.60","297.45","33.05","3.30","11.09",101939538,"3,303,860,426.58","34.90","17.89","19.48","-2.52"
"ALOKINDS","10.10","11.10","10.10","10.60","11.10","0.50","4.72",4156899,"43,772,146.47","29.80","10.10","-","-25.09"
"CYIENT","951.55","979.95","941.15","952.80","973.15","20.35","2.14",784693,"758,350,855.99","979.95","720.00","12.19","9.03"
"GLENMARK","434.75","444.75","428.05","435.60","444.45","8.85","2.03",1374248,"604,696,604.96","487.55","348.50","-4.39","4.24"
"TANLA","640.45","668.75","635.25","646.45","658.00","11.55","1.79",440998,"288,275,982.62","1,649.90","584.50","-59.26","-7.39"
"VIPIND","658.00","667.95","658.00","660.65","667.95","7.30","1.10",69120,"45,813,427.20","774.60","505.65","5.31","-4.11"
"CARBORUNIV","984.00","994.00","966.00","983.40","994.00","10.60","1.08",104360,"102,049,469.60","1,021.90","652.00","13.68","8.29"
"RADICO","1,090.00","1,105.00","1,081.25","1,093.00","1,100.85","7.85","0.72",137824,"150,201,973.44","1,230.00","723.20","16.93","4.00"
"MEDPLUS","606.50","619.95","606.50","608.95","612.85","3.90","0.64",29726,"18,235,414.70","1,132.00","548.25","-38.40","-2.61"
"PRAJIND","353.00","359.00","346.00","355.05","357.00","1.95","0.55",346878,"121,639,708.26","461.60","289.05","4.78","3.62"
"JUBLINGREA","456.00","464.90","454.20","457.40","459.00","1.60","0.35",125283,"57,553,757.37","592.60","401.20","-6.85","-6.53"
"KEC","472.80","483.85","470.00","476.90","478.50","1.60","0.34",225190,"107,312,042.60","525.95","345.50","1.48","-1.54"
"ANGELONE","1,073.95","1,089.00","1,069.05","1,075.20","1,078.00","2.80","0.26",202023,"217,861,603.20","2,022.00","1,066.00","-18.85","-17.01"
"MCX","1,376.05","1,383.95","1,356.00","1,376.75","1,380.00","3.25","0.24",153968,"211,087,048.64","1,697.10","1,143.00","0.04","-12.53"
"CDSL","997.80","1,001.70","988.00","997.05","999.00","1.95","0.20",240964,"239,549,541.32","1,606.30","980.00","-29.21","-5.25"
"CAMS","2,278.00","2,306.05","2,266.55","2,297.25","2,300.05","2.80","0.12",100607,"229,512,736.96","2,690.00","2,037.15","-4.98","-0.93"
"ELGIEQUIP","456.90","466.75","452.55","459.45","460.00","0.55","0.12",251771,"115,686,256.79","566.60","248.70","34.64","20.29"
"METROPOLIS","1,354.00","1,359.95","1,335.05","1,354.80","1,355.20","0.40","0.03",81898,"109,945,608.06","2,570.60","1,190.40","-31.44","3.44"
"ANURAS","638.95","664.65","631.00","639.85","640.00","0.15","0.02",324783,"209,842,296.30","936.55","546.75","-26.64","-1.49"
"BRIGADE","478.05","486.00","475.30","481.85","481.90","0.05","0.01",68288,"32,937,351.04","585.00","376.15","-2.85","5.89"
"CAMPUS","364.00","371.00","360.10","364.60","364.50","-0.10","-0.03",474026,"173,232,801.70","639.30","297.10","-","-9.54"
"APOLLOTYRE","328.85","329.75","325.20","329.25","328.75","-0.50","-0.15",1864934,"611,194,819.82","343.05","165.25","62.03","5.60"
"FSL","116.95","118.45","116.05","118.05","117.85","-0.20","-0.17",2582701,"302,821,692.25","140.00","93.00","-4.64","15.00"
"CESC","77.50","77.50","76.95","77.45","77.25","-0.20","-0.26",2388587,"184,303,372.92","88.00","68.00","-1.21","4.95"
"AEGISCHEM","352.20","354.65","347.10","351.10","349.90","-1.20","-0.34",229268,"80,486,824.08","388.80","167.25","65.77","1.23"
"LUXIND","1,369.20","1,382.75","1,353.25","1,370.55","1,365.00","-5.55","-0.40",18682,"25,578,833.94","2,702.80","1,311.00","-46.44","-9.43"
"MAPMYINDIA","1,143.20","1,155.25","1,120.00","1,154.75","1,150.00","-4.75","-0.41",62435,"71,237,710.65","1,716.45","1,022.00","-16.77","4.42"
"BORORENEW","449.70","457.00","445.55","452.65","450.20","-2.45","-0.54",122138,"55,152,635.28","833.35","436.35","-22.31","-6.75"
"UTIAMC","679.00","682.00","669.00","675.00","670.25","-4.75","-0.70",46806,"31,593,581.94","1,025.95","595.00","-16.96","-12.65"
"QUESS","382.00","382.00","372.30","381.80","379.00","-2.80","-0.73",98119,"36,953,577.78","729.00","351.40","-37.57","0.73"
"VTL","315.30","315.30","307.00","314.30","311.60","-2.70","-0.86",246584,"76,443,505.84","2,822.00","245.50","-87.81","1.31"
"DEEPAKFERT","625.00","634.90","620.00","629.80","624.05","-5.75","-0.91",199116,"125,311,663.44","1,062.00","506.65","19.35","-4.78"
"INTELLECT","462.00","464.70","456.35","464.85","460.50","-4.35","-0.94",228238,"104,948,397.16","986.65","393.45","-30.64","12.98"
"BAJAJELEC","1,139.50","1,141.10","1,121.00","1,133.85","1,122.50","-11.35","-1.00",13989,"15,794,560.23","1,265.00","858.55","-3.46","-0.16"
"IIFL","436.25","443.95","425.70","439.55","435.00","-4.55","-1.04",429861,"185,356,063.20","538.00","269.40","40.61","-10.53"
"CENTURYTEX","624.45","626.05","609.30","623.55","617.00","-6.55","-1.05",96028,"58,974,635.92","949.90","609.30","-20.62","-11.43"
"KEI","1,672.35","1,677.15","1,648.00","1,668.80","1,651.05","-17.75","-1.06",86941,"144,112,532.19","1,730.95","951.00","67.53","10.00"
"LXCHEM","260.35","263.40","260.00","263.60","260.75","-2.85","-1.08",216498,"56,488,658.16","493.95","258.65","-36.55","-7.08"
"SAPPHIRE","1,234.95","1,236.00","1,212.50","1,236.50","1,223.00","-13.50","-1.09",72645,"89,048,241.00","1,574.00","909.00","-7.11","-4.54"
"MGL","893.90","896.60","879.30","894.75","884.95","-9.80","-1.10",230051,"203,638,844.69","931.70","665.80","17.22","3.11"
"KPITTECH","814.00","833.00","807.60","822.10","812.80","-9.30","-1.13",1365678,"1,120,839,248.16","876.15","440.40","52.07","17.99"
"BIRLACORPN","890.65","894.55","870.00","890.60","880.50","-10.10","-1.13",55400,"48,774,160.00","1,233.00","823.00","-20.07","-6.42"
"TV18BRDCST","32.25","32.35","31.75","32.35","31.95","-0.40","-1.24",3164145,"101,062,791.30","82.60","31.65","-47.48","-8.10"
"BDL","922.25","931.00","913.30","932.50","920.60","-11.90","-1.28",1023109,"943,511,119.80","1,026.95","406.50","102.85","-0.31"
"MASTEK","1,641.35","1,665.65","1,613.05","1,651.10","1,630.00","-21.10","-1.28",46019,"75,754,176.85","3,413.10","1,490.15","-36.84","1.11"
"MANAPPURAM","105.35","105.95","103.55","105.35","104.00","-1.35","-1.28",3091136,"322,745,509.76","126.15","81.50","-11.51","-8.75"
"METROBRAND","849.20","854.90","830.00","849.25","838.00","-11.25","-1.32",176210,"147,928,295.00","980.85","505.10","54.76","-0.57"
"CREDITACC","985.95","1,000.00","963.10","988.35","975.00","-13.35","-1.35",99081,"96,672,340.89","1,154.00","645.00","42.11","8.06"
"TRIVENI","275.10","275.70","271.10","275.85","272.00","-3.85","-1.40",170616,"46,682,243.76","374.50","211.05","6.75","-1.22"
"PVR","1,656.35","1,659.95","1,620.00","1,654.35","1,631.00","-23.35","-1.41",299210,"488,149,146.60","2,214.85","1,485.55","5.91","2.70"
"AMBER","1,918.00","1,918.00","1,880.00","1,916.35","1,889.00","-27.35","-1.43",102573,"194,752,277.91","4,025.95","1,843.00","-41.36","-0.12"
"LATENTVIEW","356.10","357.50","352.50","358.10","352.80","-5.30","-1.48",186434,"66,146,783.20","546.55","305.25","-20.79","-4.24"
"NETWORK18","60.10","60.40","59.15","60.40","59.50","-0.90","-1.49",433769,"25,791,904.74","117.50","57.40","-26.48","-1.55"
"BALAMINES","2,199.00","2,199.85","2,165.00","2,199.00","2,165.05","-33.95","-1.54",16855,"36,726,370.80","3,844.00","2,125.00","-23.16","-7.62"
"CHEMPLASTS","402.05","403.55","393.35","401.05","394.70","-6.35","-1.58",291423,"116,129,151.27","685.00","357.20","-19.83","-11.10"
"NLCINDIA","80.85","80.85","78.40","81.55","80.25","-1.30","-1.59",2665070,"212,432,729.70","95.30","56.00","33.03","0.68"
"GRAPHITE","312.00","312.00","306.00","312.10","307.10","-5.00","-1.60",212128,"65,278,149.44","587.00","306.00","-34.40","-15.07"
"BSOFT","284.50","286.05","280.25","287.10","282.50","-4.60","-1.60",1501101,"425,577,144.51","501.60","250.25","-30.47","-1.58"
"MRPL","52.80","53.10","52.10","53.00","52.15","-0.85","-1.60",817385,"42,929,060.20","127.65","37.05","26.49","-8.62"
"ROUTE","1,330.90","1,330.90","1,292.05","1,333.30","1,310.00","-23.30","-1.75",168354,"220,419,158.04","1,728.00","1,052.00","-10.82","13.35"
"SUZLON","8.40","8.50","8.20","8.40","8.25","-0.15","-1.79",41332864,"343,889,428.48","12.15","5.41","-12.95","-16.00"
"MMTC","32.95","32.95","32.15","32.85","32.25","-0.60","-1.83",341372,"11,043,384.20","55.30","31.00","-29.43","-6.41"
"JBCHEPHARM","1,952.00","1,957.75","1,906.55","1,957.70","1,921.70","-36.00","-1.84",44383,"85,909,953.95","2,150.00","1,342.20","20.93","1.17"
"DELTACORP","192.00","193.95","188.00","192.35","188.55","-3.80","-1.98",1643064,"313,545,903.12","339.70","162.10","-27.50","-4.66"
"AETHER","901.00","901.00","875.00","901.80","883.50","-18.30","-2.03",18996,"16,810,320.24","1,048.90","701.00","-","0.77"
"SOBHA","590.10","593.95","575.90","590.25","578.00","-12.25","-2.08",46089,"26,793,379.26","793.00","480.20","-21.34","-4.38"
"GRANULES","285.00","285.95","279.15","286.25","280.25","-6.00","-2.10",606292,"170,816,708.08","381.00","226.95","-3.81","-8.68"
"NBCC","33.10","33.30","32.50","33.30","32.60","-0.70","-2.10",2260941,"74,091,036.57","43.75","26.55","-16.85","-12.37"
"MAHABANK","25.80","26.60","25.45","26.10","25.55","-0.55","-2.11",12829796,"332,163,418.44","36.25","15.00","39.95","-16.61"
"IDFC","74.80","75.20","73.40","75.05","73.45","-1.60","-2.13",7226835,"535,002,595.05","92.40","42.20","29.62","-13.93"
"RAIN","162.50","163.05","158.65","162.85","159.30","-3.55","-2.18",1207740,"194,144,205.00","227.00","128.60","-26.31","-6.38"
"DCMSHRIRAM","865.05","866.45","843.80","867.45","848.10","-19.35","-2.23",20739,"17,679,997.50","1,263.85","831.00","-13.57","-3.42"
"ZENSARTECH","290.00","308.45","284.05","293.45","286.90","-6.55","-2.23",10432576,"3,088,355,473.28","394.70","201.50","-15.87","34.36"
"CUB","134.00","135.50","131.60","135.05","132.00","-3.05","-2.26",4104191,"548,894,504.34","205.00","109.00","5.67","-15.46"
"STLTECH","168.00","169.90","165.40","169.85","165.90","-3.95","-2.33",296649,"49,653,109.62","242.80","128.60","-12.83","-8.26"
"EXIDEIND","177.15","177.30","173.00","177.50","173.25","-4.25","-2.39",1688416,"294,746,781.12","194.20","130.25","15.07","-4.83"
"CHAMBLFERT","286.80","286.85","279.00","286.65","279.30","-7.35","-2.56",866374,"244,074,883.28","516.00","260.80","-23.05","-5.55"
"INDIGOPNTS","1,065.00","1,084.65","1,023.00","1,056.95","1,028.00","-28.95","-2.74",206886,"215,500,733.04","1,840.00","1,023.00","-40.24","-14.15"
"HINDCOPPER","103.60","104.30","100.60","103.60","100.70","-2.90","-2.80",3393069,"345,448,354.89","133.95","81.20","-11.64","-20.34"
"CANFINHOME","574.50","581.00","557.70","578.30","562.10","-16.20","-2.80",367589,"208,706,006.53","685.00","406.65","-2.40","10.98"
"GNFC","547.45","547.45","532.00","548.25","532.55","-15.70","-2.86",641400,"345,368,244.00","912.00","499.40","1.99","-2.71"
