"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 18-Feb-2022","30 D % CHNG 
 20-Jan-2023"
"NIFTY TOTAL MARKET","8,270.00","8,273.75","8,169.40","8,303.10","8,184.60","-118.50","-1.43",1642309411,"385,295,612,770.30","8,930.90","6,252.10","2.33","-2.87"
"IRB","30.40","34.90","29.60","297.45","33.05","3.30","11.09",101939538,"3,303,860,426.58","34.90","17.89","19.48","-2.52"
"CARYSIL","513.00","548.95","511.30","507.45","546.95","39.50","7.78",500054,"267,268,861.92","548.95","431.05","-","15.32"
"THERMAX","1,994.55","2,164.55","1,985.05","2,000.10","2,141.00","140.90","7.04",179060,"374,844,204.00","2,679.00","1,651.00","11.11","2.06"
"TIIL","1,093.70","1,170.00","1,087.55","1,082.85","1,135.00","52.15","4.82",146535,"168,789,270.45","1,239.90","701.05","30.99","15.95"
"ALOKINDS","10.10","11.10","10.10","10.60","11.10","0.50","4.72",4156899,"43,772,146.47","29.80","10.10","-","-25.09"
"JCHAC","1,203.10","1,310.70","1,191.05","1,197.10","1,253.00","55.90","4.67",297987,"379,408,967.88","2,271.00","1,050.00","-33.19","8.57"
"RELIGARE","147.00","153.90","145.85","148.55","153.90","5.35","3.60",287625,"43,089,101.25","192.45","97.65","20.77","-12.31"
"GPPL","98.15","103.80","97.60","98.80","102.30","3.50","3.54",4834924,"492,920,501.80","109.40","70.30","9.96","5.22"
"INDOSTAR","140.75","144.00","137.00","137.15","141.95","4.80","3.50",18451,"2,596,055.70","252.00","117.25","-","-10.36"
"RATNAMANI","2,251.05","2,295.00","2,231.10","2,204.80","2,272.00","67.20","3.05",201163,"455,885,648.75","2,437.00","1,361.57","0.30","12.24"
"VALIANTORG","413.90","438.00","411.20","413.55","424.70","11.15","2.70",125378,"52,880,679.06","1,090.00","411.20","-54.54","-20.16"
"VIDHIING","330.15","339.90","329.05","329.95","338.50","8.55","2.59",21747,"7,275,458.85","513.85","320.00","-9.70","-8.14"
"CCL","537.45","551.75","535.10","535.15","549.00","13.85","2.59",202292,"110,392,767.32","579.40","315.20","16.55","0.58"
"LINDEINDIA","3,738.00","3,840.00","3,710.55","3,745.05","3,839.90","94.85","2.53",77191,"292,276,774.31","4,190.00","2,503.20","26.04","10.45"
"SFL","1,140.30","1,168.00","1,124.00","1,134.60","1,162.00","27.40","2.41",23250,"26,530,807.50","2,027.50","1,124.00","-65.15","-9.33"
"MAHLOG","367.55","380.00","367.55","371.30","379.95","8.65","2.33",142708,"53,786,645.20","567.00","367.25","-14.22","-23.83"
"BLUESTARCO","1,411.00","1,478.00","1,403.95","1,413.80","1,446.00","32.20","2.28",335502,"488,500,977.06","1,478.00","859.05","33.31","16.22"
"INOXWIND","95.00","99.00","94.05","95.35","97.50","2.15","2.25",637881,"61,785,153.66","159.90","75.40","-19.30","-11.51"
"HCG","272.65","282.40","270.95","272.65","278.70","6.05","2.22",127832,"35,639,561.60","318.00","214.90","18.75","-4.43"
"AUROPHARMA","459.95","474.00","458.05","460.00","470.00","10.00","2.17",2578321,"1,209,748,213.20","727.95","397.20","-28.02","3.44"
"POLICYBZR","499.00","524.90","487.50","498.10","508.90","10.80","2.17",3884825,"1,984,601,699.50","825.05","356.20","-31.55","14.66"
"CYIENT","951.55","979.95","941.15","952.80","973.15","20.35","2.14",784693,"758,350,855.99","979.95","720.00","12.19","9.03"
"CERA","6,462.40","6,788.00","6,447.50","6,569.40","6,709.00","139.60","2.13",92359,"614,330,506.45","6,788.00","3,515.00","58.44","24.27"
"PNBHOUSING","569.70","588.00","561.75","570.65","582.50","11.85","2.08",1036433,"602,219,394.65","611.85","311.45","35.42","6.09"
"OIL","245.90","251.65","242.55","254.80","249.85","5.05","2.06",2874767,"708,946,289.87","306.00","167.85","13.07","8.17"
"VOLTAS","898.10","927.40","895.80","895.80","914.20","18.40","2.05",7876349,"7,199,061,749.49","1,347.65","737.20","-27.97","14.84"
"MMFL","845.70","863.05","844.00","845.70","863.00","17.30","2.05",15225,"13,034,274.75","1,036.10","730.00","9.50","-1.69"
"GLENMARK","434.75","444.75","428.05","435.60","444.45","8.85","2.03",1374248,"604,696,604.96","487.55","348.50","-4.39","4.24"
"IFBIND","833.05","876.65","832.10","832.90","849.00","16.10","1.93",93703,"80,924,721.89","1,129.95","800.00","-8.20","-5.76"
"SPLPETRO","369.80","379.45","362.55","365.80","372.50","6.70","1.83",67623,"25,301,145.45","470.98","337.50","-","1.39"
"SYMPHONY","1,119.70","1,152.00","1,107.00","1,110.05","1,130.00","19.95","1.80",605644,"688,344,688.20","1,215.00","820.60","14.03","14.82"
