"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 18-Feb-2022","30 D % CHNG 
 20-Jan-2023"
"NIFTY200 MOMENTUM 30","18,197.55","18,197.55","17,908.10","18,254.85","17,958.90","-295.95","-1.62",246131429,"85,977,823,808.99","-","-","-5.88","-4.54"
"ITC","382.00","384.90","380.00","382.25","384.15","1.90","0.50",8961077,"3,434,601,592.56","388.20","207.00","75.34","14.24"
"TRENT","1,328.95","1,352.45","1,323.50","1,338.10","1,342.00","3.90","0.29",556036,"742,880,777.08","1,566.00","980.00","29.24","13.18"
"CUMMINSIND","1,576.90","1,588.95","1,565.30","1,578.35","1,576.80","-1.55","-0.10",778980,"1,229,316,127.80","1,666.45","909.15","62.61","9.06"
"ABB","3,169.95","3,188.90","3,129.30","3,169.40","3,163.00","-6.40","-0.20",218407,"690,214,169.54","3,446.30","1,944.60","50.84","8.03"
"SUNPHARMA","971.55","978.00","966.00","971.60","967.00","-4.60","-0.47",2605147,"2,531,864,214.89","1,072.15","789.90","15.14","-5.70"
"EICHERMOT","3,270.00","3,270.15","3,215.10","3,274.15","3,255.00","-19.15","-0.58",570379,"1,849,801,838.69","3,889.65","2,159.55","21.31","3.92"
"BEL","95.70","96.15","94.80","95.55","94.90","-0.65","-0.68",14589841,"1,390,703,644.12","114.65","62.33","-51.78","-6.14"
"ESCORTS","2,100.00","2,120.00","2,079.00","2,107.05","2,090.00","-17.05","-0.81",228163,"479,171,961.19","2,358.35","1,306.70","13.22","0.58"
"COALINDIA","214.55","215.85","211.60","214.05","212.00","-2.05","-0.96",6003852,"1,281,642,286.44","263.40","149.00","32.79","-5.70"
"TVSMOTOR","1,120.00","1,126.90","1,108.05","1,125.80","1,112.00","-13.80","-1.23",746146,"832,363,170.30","1,176.90","513.00","70.99","16.07"
"SBIN","520.75","521.90","512.50","523.45","516.75","-6.70","-1.28",14763050,"7,626,443,999.50","629.55","425.00","2.27","-11.61"
"AXISBANK","840.00","843.00","829.55","844.05","832.35","-11.70","-1.39",6984037,"5,831,042,331.67","970.00","618.25","7.00","-9.30"
"SIEMENS","3,295.00","3,313.80","3,246.05","3,294.20","3,248.00","-46.20","-1.40",514766,"1,688,308,936.16","3,313.80","2,150.10","36.37","7.62"
"PIDILITIND","2,319.95","2,319.95","2,281.00","2,331.85","2,298.00","-33.85","-1.45",330363,"757,961,741.79","2,918.95","1,988.55","-3.89","-2.94"
"BHARTIARTL","777.00","781.65","766.50","779.05","767.50","-11.55","-1.48",3261898,"2,528,166,663.88","860.55","628.75","9.73","1.91"
"M&M","1,346.90","1,352.85","1,311.15","1,351.85","1,331.00","-20.85","-1.54",2196484,"2,929,736,253.72","1,397.00","671.15","60.72","2.82"
"NTPC","172.95","173.20","168.50","173.25","170.55","-2.70","-1.56",12225021,"2,082,043,326.51","182.95","123.65","31.30","2.70"
"CANBK","278.00","278.00","270.50","278.95","274.20","-4.75","-1.70",9232454,"2,532,462,132.20","341.70","171.75","19.75","-12.54"
"FEDERALBNK","126.80","127.25","124.80","127.35","125.10","-2.25","-1.77",5283351,"663,853,053.15","143.40","82.50","27.67","-5.14"
"BANKBARODA","158.70","159.35","155.60","159.90","157.05","-2.85","-1.78",22746525,"3,576,891,056.25","197.20","89.85","54.12","-10.84"
"ICICIBANK","851.25","854.10","834.75","854.20","837.45","-16.75","-1.96",13880984,"11,724,017,896.24","958.20","642.15","13.22","-1.86"
"HAL","2,625.00","2,636.95","2,541.00","2,622.25","2,560.75","-61.50","-2.35",1172324,"3,009,660,512.24","2,811.80","1,240.00","101.55","4.49"
"IDFCFIRSTB","54.40","54.45","53.20","54.60","53.30","-1.30","-2.38",25387270,"1,363,804,144.40","64.30","28.95","24.37","-8.00"
"JINDALSTEL","589.00","590.55","569.10","589.30","575.00","-14.30","-2.43",1522960,"879,204,808.00","622.75","304.20","41.95","-1.96"
"ABCAPITAL","142.50","143.15","138.65","143.05","139.45","-3.60","-2.52",1617711,"226,964,853.30","162.45","85.60","32.95","-1.75"
"BHEL","70.50","70.50","68.40","70.75","68.80","-1.95","-2.76",12057163,"835,440,824.27","91.55","41.40","40.10","-12.44"
"PNB","48.75","48.85","47.50","49.05","47.65","-1.40","-2.85",50161602,"2,411,268,208.14","62.00","28.05","30.80","-13.87"
"INDHOTEL","308.00","309.20","298.20","309.85","299.30","-10.55","-3.40",4232835,"1,279,543,692.15","349.00","180.60","51.18","4.84"
"AMBUJACEM","352.00","352.00","332.10","352.85","334.90","-17.95","-5.09",12696127,"4,302,336,556.49","598.00","274.00","4.22","-31.85"
"ADANIENT","1,535.00","1,560.00","1,381.20","1,571.10","1,397.50","-173.60","-11.05",10606476,"15,266,113,036.32","4,190.00","1,017.45","-6.77","-54.54"
