"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 18-Feb-2022","30 D % CHNG 
 20-Jan-2023"
"NIFTY200 QUALITY 30","14,223.95","14,252.00","14,153.10","14,275.80","14,176.70","-99.10","-0.69",47487859,"41,116,170,084.27","-","-","0.70","1.22"
"ABBOTINDIA","20,005.10","20,298.95","19,968.10","20,029.15","20,297.05","267.90","1.34",9198,"185,933,430.90","22,499.00","15,870.00","22.94","-8.11"
"IEX","144.05","146.40","142.65","144.05","145.60","1.55","1.08",12020712,"1,738,435,369.44","251.50","129.25","-31.47","6.15"
"MARICO","500.75","505.40","498.35","500.40","503.00","2.60","0.52",1412597,"710,493,913.09","554.35","468.50","-1.35","-0.95"
"ITC","382.00","384.90","380.00","382.25","384.15","1.90","0.50",8961077,"3,434,601,592.56","388.20","207.00","75.34","14.24"
"BAJAJ-AUTO","3,837.10","3,890.25","3,814.95","3,837.10","3,847.00","9.90","0.26",477992,"1,843,964,078.16","4,131.75","3,125.00","7.20","7.40"
"COLPAL","1,457.00","1,459.65","1,443.20","1,458.15","1,457.50","-0.65","-0.04",229296,"333,128,107.68","1,695.95","1,388.00","3.35","-2.79"
"IGL","437.10","439.90","433.85","437.05","436.60","-0.45","-0.10",1117905,"488,401,515.45","452.00","321.00","17.95","2.86"
"DIVISLAB","2,915.60","2,936.60","2,904.35","2,918.60","2,913.50","-5.10","-0.17",461368,"1,349,930,472.24","4,640.80","2,740.10","-31.46","-12.70"
"TECHM","1,122.00","1,134.25","1,118.00","1,134.45","1,130.00","-4.45","-0.39",2674708,"3,012,630,608.72","1,574.95","943.70","-20.01","8.40"
"DABUR","535.50","535.50","529.60","535.15","533.00","-2.15","-0.40",922754,"491,228,091.90","610.75","482.25","-3.33","-5.45"
"BRITANNIA","4,505.00","4,540.90","4,477.70","4,503.35","4,485.00","-18.35","-0.41",262918,"1,183,843,507.78","4,669.20","3,050.00","29.58","4.27"
"BERGEPAINT","567.00","569.95","560.00","570.60","567.00","-3.60","-0.63",886640,"499,568,441.60","743.00","527.15","-21.48","2.41"
"ASIANPAINT","2,809.95","2,813.95","2,780.00","2,817.10","2,797.90","-19.20","-0.68",580270,"1,621,726,990.60","3,582.90","2,560.00","-13.36","1.05"
"HEROMOTOCO","2,507.00","2,534.65","2,495.00","2,520.55","2,499.80","-20.75","-0.82",310260,"779,866,433.40","2,938.60","2,146.85","-7.11","-8.23"
"HINDUNILVR","2,516.15","2,523.55","2,482.75","2,516.15","2,494.00","-22.15","-0.88",885515,"2,209,545,883.15","2,741.60","1,901.55","9.65","-1.28"
"COALINDIA","214.55","215.85","211.60","214.05","212.00","-2.05","-0.96",6003852,"1,281,642,286.44","263.40","149.00","32.79","-5.70"
"NESTLEIND","18,882.80","18,882.80","18,631.15","18,848.70","18,659.95","-188.75","-1.00",42080,"789,021,460.80","21,050.00","16,000.00","4.10","-1.83"
"HCLTECH","1,095.00","1,105.55","1,090.05","1,105.20","1,094.00","-11.20","-1.01",2212194,"2,426,732,574.12","1,215.00","877.35","-5.11","-0.23"
"LTTS","3,700.00","3,729.00","3,662.25","3,754.10","3,715.00","-39.10","-1.04",244713,"904,970,698.17","5,295.00","2,924.20","-14.01","16.20"
"INFY","1,563.00","1,575.00","1,555.30","1,579.50","1,561.80","-17.70","-1.12",3656244,"5,722,643,421.48","1,923.30","1,355.00","-8.74","3.54"
"HAVELLS","1,213.80","1,216.25","1,193.75","1,216.70","1,203.00","-13.70","-1.13",522972,"631,143,528.48","1,405.55","1,024.50","1.29","5.47"
"TCS","3,414.95","3,447.00","3,395.00","3,451.00","3,410.00","-41.00","-1.19",1218430,"4,162,851,385.10","3,835.60","2,926.10","-7.22","2.61"
"OFSS","3,165.15","3,202.00","3,142.30","3,200.60","3,161.00","-39.60","-1.24",121696,"384,219,828.16","3,750.00","2,883.25","-9.22","5.19"
"LTIM","4,815.00","4,815.00","4,758.00","4,878.90","4,815.00","-63.90","-1.31",411601,"1,973,894,335.65","5,107.75","4,121.00","-","14.31"
"MUTHOOTFIN","985.75","986.80","966.95","985.80","972.70","-13.10","-1.33",385970,"375,842,147.20","1,448.00","950.20","-25.42","-6.33"
"PIDILITIND","2,319.95","2,319.95","2,281.00","2,331.85","2,298.00","-33.85","-1.45",330363,"757,961,741.79","2,918.95","1,988.55","-3.89","-2.94"
"COROMANDEL","901.45","903.90","885.00","902.40","889.00","-13.40","-1.48",421421,"378,288,560.65","1,094.00","729.55","14.75","4.15"
"SUNTV","443.70","444.90","432.65","443.45","435.85","-7.60","-1.71",496310,"217,105,846.40","568.50","402.55","-6.19","-8.49"
"PAGEIND","38,600.00","38,634.55","37,890.05","38,648.60","37,971.00","-677.60","-1.75",22779,"870,020,214.84","54,349.10","37,170.00","-5.78","-3.94"
"LALPATHLAB","1,980.70","1,984.75","1,912.35","1,982.70","1,935.10","-47.60","-2.40",184024,"356,533,618.32","2,878.55","1,805.55","-26.14","-5.85"
