"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 18-Feb-2022","30 D % CHNG 
 20-Jan-2023"
"NIFTY50 EQUAL WEIGHT","20,026.55","20,040.90","19,777.90","20,083.90","19,809.35","-274.55","-1.37",204021979,"171,620,049,457.79","-","-","4.26","-2.31"
"ITC","382.00","384.90","380.00","382.25","384.15","1.90","0.50",8961077,"3,434,601,592.56","388.20","207.00","75.34","14.24"
"BAJAJ-AUTO","3,837.10","3,890.25","3,814.95","3,837.10","3,847.00","9.90","0.26",477992,"1,843,964,078.16","4,131.75","3,125.00","7.20","7.40"
"CIPLA","966.60","972.80","959.05","965.95","965.95","-","-",1602953,"1,548,308,332.23","1,185.25","888.15","6.47","-8.31"
"MARUTI","8,675.50","8,719.00","8,585.00","8,669.85","8,663.45","-6.40","-0.07",363931,"3,150,110,310.49","9,769.00","6,536.55","0.66","2.73"
"DRREDDY","4,486.90","4,520.20","4,469.40","4,486.15","4,482.00","-4.15","-0.09",176461,"792,382,239.01","4,645.00","3,654.00","4.37","3.12"
"DIVISLAB","2,915.60","2,936.60","2,904.35","2,918.60","2,913.50","-5.10","-0.17",461368,"1,349,930,472.24","4,640.80","2,740.10","-31.46","-12.70"
"ONGC","154.25","154.50","151.70","154.10","153.75","-0.35","-0.23",9599697,"1,469,713,610.70","194.95","119.85","-5.69","1.65"
"BPCL","322.50","323.00","316.20","323.25","322.10","-1.15","-0.36",4089274,"1,304,233,049.56","398.80","288.05","-12.34","-6.67"
"TECHM","1,122.00","1,134.25","1,118.00","1,134.45","1,130.00","-4.45","-0.39",2674708,"3,012,630,608.72","1,574.95","943.70","-20.01","8.40"
"BRITANNIA","4,505.00","4,540.90","4,477.70","4,503.35","4,485.00","-18.35","-0.41",262918,"1,183,843,507.78","4,669.20","3,050.00","29.58","4.27"
"TATACONSUM","726.00","734.00","719.85","726.20","722.90","-3.30","-0.45",1690647,"1,224,451,089.75","861.15","650.20","1.82","-1.66"
"HINDALCO","430.50","434.50","426.75","431.50","429.50","-2.00","-0.46",5276939,"2,275,205,019.24","636.00","308.95","-15.72","-11.93"
"SUNPHARMA","971.55","978.00","966.00","971.60","967.00","-4.60","-0.47",2605147,"2,531,864,214.89","1,072.15","789.90","15.14","-5.70"
"EICHERMOT","3,270.00","3,270.15","3,215.10","3,274.15","3,255.00","-19.15","-0.58",570379,"1,849,801,838.69","3,889.65","2,159.55","21.31","3.92"
"ASIANPAINT","2,809.95","2,813.95","2,780.00","2,817.10","2,797.90","-19.20","-0.68",580270,"1,621,726,990.60","3,582.90","2,560.00","-13.36","1.05"
"UPL","745.05","749.30","736.55","747.15","741.50","-5.65","-0.76",1950321,"1,446,709,111.38","848.00","607.50","6.11","1.27"
"HEROMOTOCO","2,507.00","2,534.65","2,495.00","2,520.55","2,499.80","-20.75","-0.82",310260,"779,866,433.40","2,938.60","2,146.85","-7.11","-8.23"
"HINDUNILVR","2,516.15","2,523.55","2,482.75","2,516.15","2,494.00","-22.15","-0.88",885515,"2,209,545,883.15","2,741.60","1,901.55","9.65","-1.28"
"COALINDIA","214.55","215.85","211.60","214.05","212.00","-2.05","-0.96",6003852,"1,281,642,286.44","263.40","149.00","32.79","-5.70"
"NESTLEIND","18,882.80","18,882.80","18,631.15","18,848.70","18,659.95","-188.75","-1.00",42080,"789,021,460.80","21,050.00","16,000.00","4.10","-1.83"
"HCLTECH","1,095.00","1,105.55","1,090.05","1,105.20","1,094.00","-11.20","-1.01",2212194,"2,426,732,574.12","1,215.00","877.35","-5.11","-0.23"
"POWERGRID","216.00","217.30","213.00","217.20","214.95","-2.25","-1.04",6846495,"1,467,956,992.95","248.35","186.35","9.61","-2.71"
"INDUSINDBK","1,096.75","1,096.95","1,079.20","1,101.75","1,089.70","-12.05","-1.09",1983022,"2,159,689,429.98","1,275.80","763.20","15.68","-8.37"
"INFY","1,563.00","1,575.00","1,555.30","1,579.50","1,561.80","-17.70","-1.12",3656244,"5,722,643,421.48","1,923.30","1,355.00","-8.74","3.54"
"LT","2,229.00","2,241.00","2,182.05","2,229.45","2,203.00","-26.45","-1.19",2103097,"4,653,733,041.60","2,297.65","1,456.35","19.61","-0.91"
"TCS","3,414.95","3,447.00","3,395.00","3,451.00","3,410.00","-41.00","-1.19",1218430,"4,162,851,385.10","3,835.60","2,926.10","-7.22","2.61"
