"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 18-Feb-2022","30 D % CHNG 
 20-Jan-2023"
"NIFTY500 MULTICAP 50:25:25","9,676.35","9,683.15","9,566.10","9,712.55","9,586.60","-125.95","-1.30",1445331515,"369,898,827,551.33","10,475.45","5,531.55","2.66","-2.57"
"IRB","30.40","34.90","29.60","297.45","33.05","3.30","11.09",101939538,"3,303,860,426.58","34.90","17.89","19.48","-2.52"
"THERMAX","1,994.55","2,164.55","1,985.05","2,000.10","2,141.00","140.90","7.04",179060,"374,844,204.00","2,679.00","1,651.00","11.11","2.06"
"ALOKINDS","10.10","11.10","10.10","10.60","11.10","0.50","4.72",4156899,"43,772,146.47","29.80","10.10","-","-25.09"
"GPPL","98.15","103.80","97.60","98.80","102.30","3.50","3.54",4834924,"492,920,501.80","109.40","70.30","9.96","5.22"
"RATNAMANI","2,251.05","2,295.00","2,231.10","2,204.80","2,272.00","67.20","3.05",201163,"455,885,648.75","2,437.00","1,361.57","0.30","12.24"
"CCL","537.45","551.75","535.10","535.15","549.00","13.85","2.59",202292,"110,392,767.32","579.40","315.20","16.55","0.58"
"LINDEINDIA","3,738.00","3,840.00","3,710.55","3,745.05","3,839.90","94.85","2.53",77191,"292,276,774.31","4,190.00","2,503.20","26.04","10.45"
"SFL","1,140.30","1,168.00","1,124.00","1,134.60","1,162.00","27.40","2.41",23250,"26,530,807.50","2,027.50","1,124.00","-65.15","-9.33"
"MAHLOG","367.55","380.00","367.55","371.30","379.95","8.65","2.33",142708,"53,786,645.20","567.00","367.25","-14.22","-23.83"
"BLUESTARCO","1,411.00","1,478.00","1,403.95","1,413.80","1,446.00","32.20","2.28",335502,"488,500,977.06","1,478.00","859.05","33.31","16.22"
"AUROPHARMA","459.95","474.00","458.05","460.00","470.00","10.00","2.17",2578321,"1,209,748,213.20","727.95","397.20","-28.02","3.44"
"POLICYBZR","499.00","524.90","487.50","498.10","508.90","10.80","2.17",3884825,"1,984,601,699.50","825.05","356.20","-31.55","14.66"
"CYIENT","951.55","979.95","941.15","952.80","973.15","20.35","2.14",784693,"758,350,855.99","979.95","720.00","12.19","9.03"
"CERA","6,462.40","6,788.00","6,447.50","6,569.40","6,709.00","139.60","2.13",92359,"614,330,506.45","6,788.00","3,515.00","58.44","24.27"
"PNBHOUSING","569.70","588.00","561.75","570.65","582.50","11.85","2.08",1036433,"602,219,394.65","611.85","311.45","35.42","6.09"
"OIL","245.90","251.65","242.55","254.80","249.85","5.05","2.06",2874767,"708,946,289.87","306.00","167.85","13.07","8.17"
"VOLTAS","898.10","927.40","895.80","895.80","914.20","18.40","2.05",7876349,"7,199,061,749.49","1,347.65","737.20","-27.97","14.84"
"GLENMARK","434.75","444.75","428.05","435.60","444.45","8.85","2.03",1374248,"604,696,604.96","487.55","348.50","-4.39","4.24"
"IFBIND","833.05","876.65","832.10","832.90","849.00","16.10","1.93",93703,"80,924,721.89","1,129.95","800.00","-8.20","-5.76"
"SYMPHONY","1,119.70","1,152.00","1,107.00","1,110.05","1,130.00","19.95","1.80",605644,"688,344,688.20","1,215.00","820.60","14.03","14.82"
"TANLA","640.45","668.75","635.25","646.45","658.00","11.55","1.79",440998,"288,275,982.62","1,649.90","584.50","-59.26","-7.39"
"EPL","160.70","165.85","158.00","161.40","164.20","2.80","1.73",910315,"148,836,502.50","198.00","147.00","-1.19","0.31"
"PETRONET","213.20","217.80","211.65","213.45","216.70","3.25","1.52",1894173,"408,194,281.50","232.00","190.25","2.45","-4.26"
"NAM-INDIA","214.75","219.65","213.05","214.80","218.00","3.20","1.49",399775,"86,687,211.00","357.10","213.05","-29.33","-12.77"
"HIKAL","304.10","312.70","304.00","306.05","310.15","4.10","1.34",155671,"48,172,390.95","456.00","212.00","-19.84","-20.91"
"ABBOTINDIA","20,005.10","20,298.95","19,968.10","20,029.15","20,297.05","267.90","1.34",9198,"185,933,430.90","22,499.00","15,870.00","22.94","-8.11"
"POLYMED","939.95","955.00","925.55","938.90","951.00","12.10","1.29",31632,"29,811,894.72","1,045.00","651.10","31.02","7.08"
"ITI","98.00","105.80","98.00","97.15","98.40","1.25","1.29",5281584,"543,580,625.28","129.65","81.00","-7.34","-6.86"
"WOCKPHARMA","196.50","205.95","194.20","192.80","195.20","2.40","1.24",4015628,"805,896,383.32","406.50","184.30","-49.30","-11.32"
"EMAMILTD","390.00","395.95","386.55","390.15","395.00","4.85","1.24",246718,"96,123,799.98","524.00","385.00","-21.31","-8.08"
